id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
106,次の文は、垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答えよ。,底面エコー方式による感度調整では、試験体の減衰が大きい場合、きずを過小評価する傾向にある。,試験片方式による感度調整では、試験体の減衰が大きい場合、きずを過大評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,試験片方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,c,底面エコー方式による感度調整では、きずを過大評価する傾向がある。試験片方式による感度調整では、きずを過小評価する恐れがあり、また試験体の表面粗さの影響を受けやすい。
107,次の文は、超音波探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答えよ。,標準試験片や対比試験片に加工されている標準穴は、決められた形状・寸法の穴であり、超音波探傷器の感度調整などを行うとき標準反射源として用いる。,対比試験片に加工されている標準穴は、任意の穴径に加工することができる。,試験片方式の感度調整では、きず部の底面エコーを基準としている。,底面エコー方式の感度調整では、きずエコーが最大になった時のきず部の底面エコーを基準としている。,a,標準試験片は、JIS規格によって定められた試験片で、形状寸法や標準穴の寸法が定められている。対比試験片も、形状や穴径はJISに規定されている。
108,次の文は、斜角探傷におけるエコー高さ区分線の作成について述べたものである。正しいものを一つ選び、記号で答えよ。,表示器に描いたエコー高さ区分線は、探触子の購入時に描いたものが、そのまま使用できる。,周波数、振動子サイズ、屈折角が同じ探触子で同一の探傷器に接続して用いる場合に限り、ゼロ点補正だけを行えば、エコー高さ区分線は共通に使用可能である。,RB-41Aを用いて作成したエコー高さ区分線を使用して試験体の探傷を行う場合は感度補正の必要はない。,エコー高さ区分線は、0.5S及び1Sの範囲は精度よく描かなければならないが、1.5S以上の範囲ではあまり使用されないため精度は要求されない。,c,RB-41Aは、試験体と同等の音響特性（試験体との音速差±2%以内、感度補正量の差が±2dB以内）の鋼材及び探傷面の状態で曲率をもたないことが要求されているため、感度補正は必要としない。
109,次の文は、ＤＧＳ線図の利用について述べたものである。2C20Nの探触子を用いて、厚さ200mmの鋼製試験体を垂直探傷した。探傷感度は試験片方式でSTB-G V8のエコー高さを50%に調整した。ビーム路程150mmの位置でエコー高さ96%のきずを検出した。このきずを超音波ビームに垂直な円形平面きずとして、その直径をDGS線図を使用して求めると何mmとなるか。,2.1,3.0,3.5,5.0,d,STB-G V8の標準穴は探傷面から80mmで、その標準穴の直径は2mm。80mmの深さにある直径2mmの相対エコー高さは、DGS線図より-36.5dB。きずの相対エコー高さは-36.5+5.7=-30.8dBとなり、きずの深さ150mmに対する等価きず直径を読むと、5.0mmとなる。
110,次の文は、ＤＧＳ線図について述べたものである。周波数5MHz、振動子直径20mmの探触子を用いて、ある鋼製試験体を垂直探傷した。探傷面から90mmの位置にSTB-G V15シリーズの標準きずのエコー高さより、8dB高いきずエコーを検出した。このきずを超音波ビームに垂直な円形平面きずとしてその直径をＤＧＳ線図から測定したところ、直径3.6mmと推定できた。このとき使用した標準試験片の種類はどれか。,STB-G V15-1.4,STB-G V15-2,STB-G V15-2.8,STB-G V15-4,c,きずの相対エコー高さはDGS線図より-20dBと読める。よって標準試験片の標準きずエコーは-20dB-8dB=-28dBであり、標準きずの位置150mmと相対エコー高さ-28dBをDGS線図で等価きず直径を読むと、2.8mmと読める。よってSTB-G V15-2.8が使用した標準試験片である。
111,次の文は、DGS線図を用いて等価きず直径を推定する方法について述べたものである。DGS線図を用いて等価きず直径を推定する場合、基準としてSTB-Gの円形平面きずを用いる場合のほか、どのような方法があるか。,STB-A2 φ4mm、深さ4mmの縦穴を基準とする。,RB-41Aに規定する横穴を基準とする。,試験体の健全部の底面エコーを基準とする。,STB-N1 φ5.6mmの円形平面きずを基準とする。,c,DGS線図を用いて等価きず直径を推定する方法としては、STB-Gの円形平面きず用いる試験片方式の他に、試験体健全部の底面エコーを基準にする底面エコー方式を用いる場合がある。
112,次の文は、エコー高さの評価について述べたものである。正しいものを一つ選び、記号で答えよ。,F/BFとは、きずエコー高さときずエコーが最大となる位置での底面エコー高さとの比で、きずの大きさにかかわらず材料の減衰値が一定であれば常に一定の値になる。,F/BGを用いる場合、健全部の底面エコー高さで感度調整すれば、同材質、同一形状の試験体について同一感度で探傷できる。,F/BGは、きずエコー高さと健全部の底面エコー高さとの比であるが、探傷面の粗さが変化してもFエコー高さもBGエコー高さも変わらない。,探傷面の粗さにかかわらず接触媒質の種類によるエコー高さへの影響はない。,b,F/BG（エフ・バイ・ビージー）：健全部のB1に対するきずエコーの大きさ。特徴：①探傷面の影響を受ける。②同一材質、同一形状の試験体の場合、作業性がよい。③大きなきずが傾いている場合、過小評価になる。
113,次の文は、超音波探傷におけるきず高さの測定について述べたものである。正しいものを一つ選び、記号で答えよ。,きず高さは、垂直探傷試験で容易に測定することができる。,きず高さは、探傷面からのきず上端部までの寸法である。,きず高さは、TOFD法や端部エコー法で測定することができる。,きず高さは、V透過法で測定することができる。,c,きず高さの測定方法には、端部エコー法、表面波法及びTOFD法などがある。
114,板厚19mmの鋼突合せ溶接部を5Z10×10A70を用いて、STB-A2により探傷感度を調整し、検出レベルをM検出レベルに選定して斜角探傷した。その結果ビーム路程が59mmの位置にエコー高さが80％のきずエコーが検出された。きずの指示長さはいくらになるか。,23,28,33,60,c,JIS Z 3060ではM検出レベルでも、きずの指示長さ測定はL線を超える探触子の移動範囲と定められている。L線を超える範囲から指示長さは33mmとなる。
115,板厚19mmの鋼突合せ溶接部を5Z10×10A70を用いて、STB-A2により探傷感度を調整し、検出レベルをL検出レベルに選定して斜角探傷した。その結果ビーム路程が75mmの位置にエコー高さが70％のきずエコーが検出された。この場合きずの指示長さはいくらになるか。,40,52,55,63,d,L線との交点は13％と読むことができる。L線を超える範囲を読み取ると107mmから170mmの範囲となり、きずの指示長さは63mmとなる。
116,次の文は、超音波探傷試験における林状エコーについて述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーは、試験体中の結晶粒界による超音波の散乱によって生じる。,広帯域探触子を使うと、林状エコーが高くなる。,試験周波数を高めると、林状エコーが低くなる。,パルス繰返し周波数を高めると、林状エコーが低くなる。,a,超音波の周波数が高い場合や結晶粒が粗大な場合には、散乱減衰が大きく、結晶粒界における散乱などにより林状エコーが表れやすい。広帯域(高分解能)探触子を使用すれば組織が粗い試験体のＳＮ比の向上が期待できる。
117,次の文は、平板継手溶接部をJIS Z 3060により探傷し、検出されたきずの評価について述べたものである。厚さ20mmの鋼突合せ溶接部を、JIS Z 3060により超音波探傷をしたところ、同じ断面位置で数箇所からきずを検出した。きずAとBの指示長さは各20mm、その間隔が10mm、きずCの指示長さは10mmで、BとCの間隔は25mmであった。この溶接部のきずの分類は何類か。,1類,2類,3類,4類,d,"JIS Z 3060では、きずときずの間隔が大きい方のきずの指示長さと同じか又はそれより短い場合は同一きず群とみなす。A,Bは同一きず群でCは独立したきず。A、B同一きず群は20+10+20=50mmで4類、Cは指示長さ10mmで2類。この溶接部のきずの分類は4類である。"
118,次の文は、柱－梁の十字継手の斜角探傷について述べたものである。探傷箇所①のY=102mm、W=75mmで検出されたエコーの反射源として想定されるものはどれか。,レ形溶接部の開先面の融合不良,水平部材中の母材のきず,裏当金溶接部のきず,溶接金属中のきず,b,探傷箇所①の反射源位置を計算すると、A面からの深さd=2T-Wcosθ=40-75×cos70°=14.3mm、基準面からの距離k=Y-Wsinθ=102-75×sin70°=+31.5mmとなり、水平部材中の母材のきずと推定される。
119,次の文は、裏当て金付きＴ継手溶接部の斜角探傷について述べたものである。A面から超音波探傷したところ、探触子溶接部距離がＹ＝９１ｍｍで探傷図形が得られた。探触子5Z10×10A70、STB屈折角70.0°、測定範囲125mm、ビーム路程85mmの場合、Ａ面からの深さは何mmか。,9,23,27,29,c,A面からの深さ：d=W×cosθ＝85×cos70°＝29mm、板厚28mmであるので1回反射しておりd=2T-W×cosθ＝2×28-29＝27mm
120,次の文は、垂直探傷における残留エコーの発生について述べたものである。正しいものを一つ選び、記号で答えよ。,減衰が大きい材料で、パルス繰返し周波数が低すぎると残留エコーが発生する。,減衰が大きい材料で、パルス繰返し周波数が高すぎると残留エコーが発生する。,減衰が小さい材料で、パルス繰返し周波数が低すぎると残留エコーが発生する。,減衰が小さい材料で、パルス繰返し周波数が高すぎると残留エコーが発生する。,d,残留エコーとは、パルス反射法において試験体中のエコーが、次のパルスが送信された後も残っているため、受信されて探傷図形に現れるエコーである。減衰の少ない材料を探傷する場合、パルス繰返し周波数が高いと、一つ前のパルスが残ってしまい、残留エコーとして現れる。
121,次の文は、保守検査で材質STPT（高温配管用炭素鋼鋼管）、100Aのプラント配管の肉厚測定について述べたものである。測定上の注意点について正しいものを一つ選び、記号で答えよ。ただし、プラントは稼働中で内部は100℃の蒸気配管である。,探触子は、市販の厚さ測定用探触子を用いる。,接触媒質は、測定面の温度で十分性能を発揮する高温用の接触媒質を使用する。,厚さ計の調整は、試験体と同材質で厚さが正確なものを使用し作業事務所で行う。,探触子の接触時間は、安定した値が得られるよう十分な時間とする。,b,通常の接触媒質では、高温によって蒸発してしまい、接触媒質としての役割を果たさなくなってしまう。そこで、必ず高温専用の接触媒質を適用する必要がある。また、探触子が接触する測定時間はできるだけ短くした方が器材への負担は軽くなる。
122,次の文は、ある金属材料の垂直探傷について述べたものである。垂直探触子5Z20Nを使用し、STB-A1（音速5900m/s）によって測定範囲を100mmに調整して、長さ70.0mmのある材料を超音波探傷したら、ビーム路程89.0mmの位置に第1回底面エコーが現れた。この材料の材質は何か。,アルミニウム(6260m/s),チタン(5990m/s),黄銅(4640m/s),18-8ステンレス(5790m/s),c,測定物の音速＝K×STB-A1の音速＝0.7865×5900≒4640m/sとなる。STB-A1より音速が遅いと70mmより長く表示される。よって黄銅である。
123,次の文は、ある金属材料の垂直探傷について述べたものである。垂直探触子5Z20Nを使用し、STB-A1（音速5900m/s）によって測定範囲を100mmに調整して、長さ80.0mmのある材料を超音波探傷したら、ビーム路程75.5mmの位置に第1回底面エコーが現れた。この材料の材質は何か。,鉛(2170m/s),アルミニウム(6260m/s),軟鋼(5900m/s),18-8ステンレス(5790m/s),b,測定物の音速＝T×STB-A1の音速／S＝80×5900/75.5＝6251.7≒6260m/s。STB-A1より音速が速いと80mmより短く表示される。よってアルミニウムである。
124,次の文は、JIS G 0801によって、探触子5C20Nを用いて板厚19mmの厚鋼板を垂直探傷し、探傷図形に「積算効果」が現れたときの評価について述べたものである。正しいものを一つ選び、記号で答えよ。,板厚30mmを超える厚鋼板の探傷と同様に、Ｆ１で評価すべきである。,板厚30mm以下であるからＦ２で評価すべきである。,板厚30mm以下であるからＦ３で評価すべきである。,Ｆエコーの最大値で評価すべきである。,a,積算効果は比較的板厚が薄い、減衰の少ない、底面反射回数の多い鋼板の試験体によく見られる。また、きずエコーを評価する場合、たとえ2回目、3回目のエコー高さが高くても、F1で評価を行なう。
125,次の文は、林状エコーに対する対策について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多数発生する試験体の探傷では、振動子が小さい探触子を用いる。,林状エコーが多数発生する試験体の探傷では、狭帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、広帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、高い周波数の探触子を用いる。,c,超音波の波長が金属の結晶粒の大きさと同程度ないしそれ以下のとき、散乱減衰が大きく、林状エコーが現れてきずの検出が困難になる。このような場合、低い周波数を適用する。広帯域探触子は周波数範囲が広くエコーの幅が短く分解能が良い。これを組織の粗い試験体に用いるとSN比の向上が期待できる。
126,次の文は、溶接部の超音波探傷試験において林状エコーが多く現れた場合の対応について述べたものである。正しいものを一つ選び、記号で答えよ。,時間をしばらく空けて、夜間に再探傷を実施した。,周波数の低い探触子又は、広帯域探触子を用いて、再探傷を実施した。,周波数の高い探触子を用いて、再探傷を実施した。,きずエコーを明瞭に検出するため、探傷感度を6dB高めて再探傷した。,b,林状エコーが多く現れた場合の対処方法として、低い周波数の探触子又は広帯域探触子を使用することで林状エコーは改善する。
127,次の文は、溶接部の超音波探傷試験における妨害エコーについて述べたものである。正しいものを一つ選び、記号で答えよ。,溶接部の探傷では、探傷データから反射源の位置を算出し、溶接部の断面形状、寸法を考慮して、きずエコーか妨害エコーかの判断をする。,斜角探傷で溶接部のビード止端部付近からのエコーが検出された。これは余盛による妨害エコーと判断するのがよい。,溶接部の妨害エコーは、溶接部の形状（余盛や裏当て金など）によってモード変換を起こしたクリーピング波によるエコーである。,裏はつり形式のT継手溶接部では、柱材との隙間のタレ込みからの妨害エコーが発生しやすい。,a,検出したエコーの反射源の位置を算出し、検出した位置の形状を考慮して妨害エコーであるかきずエコーであるかの判断をする。溶接ビード止端部付近は割れが発生しやすく、これを余盛による妨害エコーと判断するのは軽率である。
128,次の文は、JIS Z 3060に規定する試験報告書に必要な記録項目を示したものである。正しいものを一つ選び、記号で答えよ。,試験年月日、試験技術者名、試験技術者の資格,探傷器繰返し周波数、探傷器製造年月日,標準試験片購入年月日、対比試験片の製造年月日,試験体の溶接日時、試験体の製造者,a,JIS Z 3060の11記録では、試験年月日、試験技術者名、試験技術者の資格が含まれている。その他としては、工事名・溶接方法及び開先形状・使用した探傷器名と識別番号・探傷器の点検年月日・検査結果ときずエコーの詳細記録・合否及びその基準等を記載する。
129,次の文は、JIS G 0587による超音波探傷試験報告書について述べたものである。正しいものを一つ選び、記号で答えよ。,超音波探傷試験報告書は、事前に受渡当事者間で取り決めた場合には、その内容に従って作成すればよい。,超音波探傷試験報告書には、製造日、試験日、出荷予定日の記載を含む。,鍛鋼品に関する記録には、品番を記載すれば材質、寸法は特に記載しなくともよい。,試験結果の報告項目には、表面粗さ、減衰係数、減衰補正量、きずの位置、きずの分類を含む。,a,JIS G 0587では、『11.報告』の一般事項で『鍛鋼品の試験を行った場合、次に示す項目について記録し、報告しなければならない。あらかじめ受渡当事者間で取り決めた場合はその協定による。』とある。
130,次の文は、JIS Z 2305に基づく超音波探傷試験技術者レベル2の役割の内容について述べたものである。正しいものを一つ選び、記号で答えよ。,使用する特定のNDT方法を指定する。,NDTを実施し、監督する。,規格、コードを解釈する。,NDT手順を作成する。,b,レベル2に認証された技術者はNDT手順に従ってNDTを実施する力量を実証している。レベル2技術者は、NDTを実施し、監督することができる。
131,次の文は、JIS Z 3060による探傷装置の調整及び点検について述べたものである。正しいものを一つ選び、記号で答えよ。,測定範囲及び探傷感度は作業開始時に調整しなければならないが、入射点及びSTB屈折角は継続して使用している場合は前日の値を使用してもよい。,測定範囲及び探傷感度は作業開始時、作業開始から4時間以内ごと及び作業終了時に点検し確認しなければならない。,再点検時、探傷感度が直前の調整又は確認時より3dB低下している場合は、再調整し直前に調整又は確認した以後に実施した試験を再試験する。,再点検時、探傷感度が直前の調整又は確認時より3dB増加している場合は、再調整し直前に調整又は確認した以後に実施した試験で、きずを検出した部分を再試験する。,b,JIS Z 3060の9.1.7探傷装置の測定、調整及び点検では、『入射点、STB屈折角、測定範囲及び探傷感度は、作業開始時に測定及び調整する。また、これらは作業開始後4時間以内ごと及び作業終了時に点検し、これらの条件の変化量を確認する。』とある。
