id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
76,次の文は、鋼板の垂直探傷における積算効果について述べたものである。正しいものを一つ選び、記 号で答えよ。,積算効果は、板厚が30mm 以下の鋼板の探傷で、ラミネーションがある場合によく検出される。,積算効果が現れた場合、きずの評価は特に指定がないかぎり、Ｆ１で行なう。,積算効果が現れた場合、きずの評価は特に指定がないかぎり、Ｆエコー高さの最大のところ（例えば Ｆ４、Ｆ５）で行なう。,積算効果は残留エコーの一種である。,b,積算効果：きずが小さい場合に、きずｴｺｰが一回目より、二回目、 三回目と高くなる現象。このような現象は、振動子寸法より小さい きずが板厚の中央にあり、板厚が薄く(特に30mm 以下が多い）、減衰 が少ない場合に現れる。きずの評価は、特に指定がないかぎり、Ｆ １ で行なう。,
78,次の文は、遅延材付き垂直探触子について述べたものである。 に適する数値を一つ選び、記号で 答えよ。 探傷面の粗い鋼材の表層部を、表面粗さの影響をあまり受けずに、探傷するためにｱｸﾘﾙ樹脂の遅延材付 垂直探触子を作りたい。探傷面から深さ40mm まで探傷できるものとし、かつ、遅延材の厚さが3mm 磨耗 するまで使用できるように設計したところ、遅延材の厚さの設計値は mm となった。 ただし、ｱｸﾘﾙ樹脂の縦波の音速は2730m/s、横波音速は1430m/s、鋼の縦波音速は5920m/s、横波音速は 3255m/s である。またｴｺｰ幅の影響は無視する。,19,22,37,43,b,遅延材付探触子の探傷図形は以下のようである。 S とS の間隔が遅延材ｱｸﾘﾙの厚さであるが、 1 2 T この中に鋼の40mm のB が入るようにする S 1 1 ためには、ｱｸﾘﾙの厚さを鋼の40mm 以上に S ２ する必要がある。 よって、次式で求めることができる。 5920：40 ＝ 2730：χ χ＝（2730×40）／5920 ＝ 18.4 ここで、題意より3mm の磨耗を考慮するため 18.4＋3＝21.4mm ＝22mm となる。⇒ｂ） （3mm まで摩耗してもよい条件を満足するには、切り上げとしなけれ ばならない）,
79,次の文は、遅延材付き超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,遅延材付きの垂直探触子では、遅延材内での多重反射エコーが現われるので、遅延材の長さにより探 傷できる範囲が制限される。,遅延材付きの探触子は、主として水浸探傷において有効な性能を発揮する。,遅延材付きの材質がアクリル樹脂（CL:2730m/s）の探触子を用いて鋼の試験体を探傷する場合、遅延材 の長さは最低でも鋼の板厚の約1/3 程度の長さを必要とする。,遅延材の材質として、アクリル樹脂よりもピエゾ効果のあるセラミックスを用いた方が超音波の伝搬特 性が向上する。,a,"遅延材付き垂直探触子は、粗い面での探傷の安定化を図って、振動子 前面にｱｸﾘﾙの遅延材を取り付けた探触子である。図に示すように、遅 延材内での多重反射が現われるので、遅延材の長さにより探傷でき る範囲が限られる。この探触子を用いて探傷する場合、遅延材のS1 とS2 の間に鋼のB1 が現われるようにするためには、遅延材の材質 （ｱｸﾘﾙ樹脂）の音速2730m/s,鋼の縦波音速5920m/s とすると、ｱｸﾘﾙ 樹脂の長さを鋼の板厚の約0.46 倍(2730/5920)程度の長さが必要と なる。また、水浸法で使われる探触子は、集束垂直探触子である。",
80,次の文は、斜角探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,斜角探触子の接触面が磨耗すると、屈折角が変化することがある。,探触子のダンパは、周波数を安定させるために付けている。,斜角探触子の吸音材は、探傷感度を高めるために付けている。 単位：ｍｍ,斜角探触子のくさびの音速は、温度が変化しても変わらない。,a,a)斜角探触子の接触面が不均一な摩耗をすると、屈折角は変化する。 b)ﾀﾞﾝﾊﾟは振動子の不要な振動を抑制し、振動子を保持する。 c)吸音材は振動子から発生した超音波ﾋﾞｰﾑがくさび内で反射し、振 動子に再び戻るｴｺｰを吸収する働きがあり、不感帯を改善する。 d)くさびの温度が高くなると音速は遅くなり、鋼中の音速が変わらな ければ鋼材中への屈折角は大きくなる。,
81,次の文は、広帯域探触子の使用について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子を使用する場合、探傷器の受信帯域を探触子の公称周波数に合わせ、帯域幅を広帯域に設 定する。,広帯域探触子をデジタル探傷器で使用する場合、探傷器が受信周波数帯域を自動設定する機能を有して おり、特に変更を加える必要はない。,広帯域探触子のパルス波形は、波数が4～6 波あり、距離分解能の良いのが特徴である。,広帯域探触子は遠距離分解能がよく、この特徴を利用してDGS 線図を用いたきずの寸法測定に適用され る。,a,広帯域探触子は1～2 波振動の超音波ﾊﾟﾙｽを送受信する探触子で、ﾊﾟ ﾙｽ幅が狭く距離分解能が高いことから、高分解能探触子とも呼んで いる。広帯域探触子を使用する際は、適切な広帯域増幅、及び送信条 件を選択できる探傷器で使用する。また、広帯域探触子は林状ｴｺｰが 現われる粗粒材に適用すると、林状ｴｺｰのﾚﾍﾞﾙを抑え、SN 比を向上さ せる。一方、周波数成分が幅広いので、DGS 手法でのきずｴｺｰの評価 には不向きとされている。,
82,次の文は、くさび材料のポリスチレンを用いた斜角探触子について述べたものである。正しいものを 一つ選び、記号で答えよ。,摩耗によって磨き減ったクサビはアクリル樹脂板を貼り替えて再生することは、規格で認められている。,摩耗によって磨き減ったクサビを貼り替える場合、アクリル樹脂板が最適である。,摩耗によって磨き減ったクサビを貼り替える場合、超音波の伝達特性を考慮すると、元のクサビの材質 と同じ樹脂板が最適である。,摩耗によって磨き減ったクサビを再生する場合、元の材質にかかわらず超音波が伝達するものであれば どのような樹脂でも使用できる。,c,斜角探触子のクサビは主にｱｸﾘﾙ(PMMA)が使用されているが、その他 にﾎﾟﾘｲﾐﾄﾞ系(PI)、ﾎﾟﾘｽﾁﾚﾝ(PS)などがある。ｱｸﾘﾙが最も安価である が、ﾎﾟﾘｽﾁﾚﾝはこの中で最も減衰が少なく、音響ｲﾝﾋﾟｰﾀﾞﾝｽがｸﾞﾘｾﾘﾝと ほぼ同等であるため、JIS Z 3060 に規定されている100mμRz 以下の 面粗さであれば感度補正をする必要はない。そのため、ﾎﾟﾘｽﾁﾚﾝを用 いた斜角探触子の場合、貼り替えるｸｻﾋﾞの材料は同じﾎﾟﾘｽﾁﾚﾝを使用 するのがよい。また、ﾎﾟﾘｲﾐﾄﾞ系はこの中で最も耐摩耗性があり、熱 変形温度も150～470℃までと高く、高温用探触子に用いられる。 摩耗したくさびの貼り替えは「綱構造建築溶接部の超音波探傷検査 規準・同解説」1973 制定 2018 改定(第5 次)P41(e)で認められてい るが、同じ材質に限られている。,
83,次の文は、集束探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,集束斜角探触子の入射点及び屈折角の測定は、STB-A1 を用いて行う。,探傷器の測定範囲を変えると、探触子の集束距離及び集束範囲は、自動的に変更される。,集束斜角探触子の特性測定は、RB-E を用いて測定する。,集束探触子を使用する場合には、ビームの集束範囲内で使用するのがよい。,d,JIS Z 2350 では、集束探触子のﾋﾞｰﾑの特性は以下による。 8.1.3 集束探触子のﾋﾞｰﾑ特性 a) 集束距離F は、距離振幅特性曲線において、最大値を示す横穴深 L さである。ここで、距離振幅特性曲線は、附属書1 図2 のRB-SDH に より作成する。（図2 省略） b) 集束範囲F は、距離振幅特性曲線において、最大値の-6dB 以上を D 示す深さ範囲である。 －以下省略－ 集束探触子の入射点及び屈折角の測定は、NDIS 2418 に記述されてい る。 8.2 一振動子集束斜角探触子及び二振動子斜角探触子を用いる場合 8.2.1 入射点の測定、探傷屈折角の測定及び時間軸範囲の選定と調 整 入射点位置の測定、探傷屈折角の測定及び時間軸範囲の選定と調整 は、横穴対比試験片 RB-SDH を用いて、対象となるきず上端部F 及びきず下端部F の位置 U L を含む二つのφ3mm 横穴を利用して行なう。 上記内容から、正解はｄ）である。,
84,次の文は、フェーズドアレイ探触子について述べたものである。正しいものを一つ選び、記号で答え よ。,フェーズドアレイ探触子は、一枚の大きな振動子で製作されている。,フェーズドアレイ探触子は、複数の振動子を三次元的な配列にして制作されている。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順番を電子的に調整することで、斜めに超 音波を伝搬させることができる。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順序は常に一定の順序である。,c,ｱﾚｲ探触子は、多くの小さい振動子からなり、各々の振動子に励起信号 を印加するﾀｲﾐﾝｸﾞを電気的に制御して、超音波を集束させたり、斜め に伝搬させたりする。この探触子を使用するには、素子数分の送信部 が必要となり、専用の探傷器が用いられる。,
85,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,デジタル探傷器は、探触子ごとのエコー高さ区分線を一度作成しておけば、長時間にわたって エコー高さ区分線を使用することができる。,デジタル探傷器に接続した探触子は、探傷前に入射点、屈折角を調整しておけば使用中の探触子の 変化は自動的に補正される。,デジタル探傷器では、探触子の走査速度を早くすると探傷ﾃﾞｰﾀを数値として記憶するため、その サンプリングを細かくしないとエコーの最大値が真の値と異なる場合がある。,デジタル探傷器はメモリ機能が優れているので、アナログ探傷器に比べて電池の消耗が著しい。,c,ﾃﾞｼﾞﾀﾙ探傷器は、ｻﾝﾌﾟﾘﾝｸﾞの頻度（周波数）が多いと再現表示される 波形は受信した波形に近くなり、ｻﾝﾌﾟﾘﾝｸﾞ頻度が少ないと本来の最 大値を表示できない場合がある。,
86,次の文は、デジタル探傷器を用いた作業について述べたものである。正しいものを一つ選び、記号で答 えよ。,デジタル探傷器では、ゲート内に現れたエコーの位置を表示する機能が備わっている。このため、 ゲートの起点はビーム路程零点付近から測定範囲の最大値まで設定しておくと作業能率が向上する。,デジタル探傷器では、音速値を設定すれば、測定範囲の調整ができる。,デジタル探傷器では、各種の探傷に適切なゲート位置、ゲート幅を調整する必要がある。,デジタル探傷器では、一度標準試験片で測定した入射点、屈折角及び作成したエコー高さ区分線を記 憶しておけば、探傷現場に標準試験片を持参して調整しなくても探傷可能である。,c,ﾃﾞｼﾞﾀﾙ探傷器では、ｹﾞｰﾄを使用することで、目的のｴｺｰに対する種々 の数値を表示する役割として主に使用する。ｴｺｰ高さについては、多 くはｹﾞｰﾄ内の最大高さを検出してｴｺｰ高さを表示する。ｹﾞｰﾄ内に二つ 以上のｴｺｰが表示されている場合、一番高いｴｺｰの高さが表示される （機種によってはｹﾞｰﾄ内の最初のｴｺｰで表示の場合もある）。したがっ て、設定したｹﾞｰﾄ内に着目するｴｺｰのみにｹﾞｰﾄがかかるようにｹﾞｰﾄの 幅、位置などを調整する必要がある。,
87,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,デジタル探傷器では、装置の演算機能に高性能CPU が用いられている。このため、アナログ探傷器のよ うな4 時間毎の性能チェックは省略されている。,デジタル探傷器では、一般にMA 表示機能を有しているものが多い。,デジタル探傷器では、きずからのエコーが検出された場合、アナログ器と同様に横軸（時間軸）を50 等分された目盛からビーム路程を読み取る。,デジタル探傷器のゲート機能は、自動探傷器として使用するときに有効で、手動探傷では測定範囲の調 整時以外はあまり使用することがない。,b,ﾃﾞｼﾞﾀﾙ探傷器はｹﾞｰﾄ機能を使ってﾋﾞｰﾑ路程の数値表示、斜角探傷に おける反射源の深さや反射源までの表面距離の計算などができる。 このｹﾞｰﾄ機能は、目的のｴｺｰに対する種々の数値を表示する役割があ り、ｹﾞｰﾄを目的のｴｺｰに設定しないと、ﾋﾞｰﾑ路程やｴｺｰ高さの表示及び 斜角探傷における反射源を知るための演算機能が使用できない。 また、ﾃﾞｼﾞﾀﾙ探傷器は探傷図形を静止させるﾌﾘｰｽﾞ機能、探傷画面や 探傷条件の保存などもできる。しかしながら、ﾃﾞｼﾞﾀﾙ探傷器であっ ても、ｱﾅﾛｸﾞ器同様、4 時間毎の性能ﾁｪｯｸを行う必要がある。 MA(Multiple A-scope)表示とは、探触子を連続的に移動させたとき の A ｽｺｰﾌﾟ図形を全部重ね合わせて表示する方法で、ｴｺｰのﾋﾟｰｸを含 む波形の情報が把握し易くなる。,
88,次の文は、Ａ，Ｂ及びＣスコープ表示について述べたものである。正しいものを一つ選び、記号で答 えよ。,Ａスコープとは、横軸に時間の経過をとり、縦軸に信号の大きさを表示する基本表示のことである。,Ｂスコープとは、横軸に時間の経過をとり、縦軸に信号の大きさを表示する基本表示のことである。,Ｃスコープとは、試験体の断面におけるきずの分布状態を表す断面表示のことである。,Ｃスコープとは、きずの分布状態を立体表示することである。,a,Ａスコープ：基本表示 Ｂスコープ：断面表示 Ｃスコープ：平面表示,
89,次の文は、超音波探傷器の増幅直線性について述べたものである。最も増幅直線性の程度がよいもの を一つ選び、記号で答えよ。,STB-G V15-2.8 の標準穴のエコー高さを80％になるように感度を調整した後、6dB ゲインを下げると エコー高さは43％になった。さらに6dB ゲインを下げたときエコー高さは23％になった。,STB-G V15-2.8 の標準穴のエコー高さを80％にし、6dB ゲインを下げるとエコー高さは60％に、さらに 6dB ゲインを下げたとき40％になった。,STB-G V15-5.6 の標準穴からの最大エコー高さを80％に合わせた後、STB-G V15-2.8 で42％、STB-G V15-1.4 で22％となった。,STB-G V15-5.6 の標準穴からの最大エコー高さを80％に合わせた後、STB-G V15-4.0 で55％、STB-G V15-2.8 で38％となった。,a,"増幅直線性は探傷器の表示器の縦軸に表示されるｴｺｰ高さﾚﾍﾞﾙが、入 力信号の大きさに対してどの程度比例して表すかという性能であ る。 標準穴のｴｺｰ高さを80％に合わせた場合、ｹﾞｲﾝを6dB 下げたときの理 想のｴｺｰ高さは40％となり、さらにｹﾞｲﾝを6dB 下げたときの理想の ｴｺｰ高さは20％となる。 また、STB-G V15 ｼﾘｰｽﾞの平底穴の直径は、1, 1.4, 2, 2.8, 4, 5.6 であり、直径寸法が隣り合う試験片とのｴｺｰ高さの差が6dB となるよ うに設計されている。よって、増幅直線性が最も良いのはa である。",
90,次の文は、超音波探傷器のパルス繰返し周波数について述べたものである。正しいものを一つ選び、 記号で答えよ。,パルス繰返し周波数を高くすると、林状エコーが生じやすくなる。,パルス繰返し周波数を高くすると、遅れエコーが生じやすい。,パルス繰返し周波数を高くすると、残留エコーが生じやすい。,パルス繰返し周波数を高くすると、自動探傷速度を速くできない。,c,残留ｴｺｰとはﾊﾟﾙｽ反射法において試験体中のｴｺｰが次のﾊﾟﾙｽが送信さ れた後も残っているため、受信されて探傷図形に現れるｴｺｰをいう。 ｺﾞｰｽﾄｴｺｰともいう。減衰の少ない材料を探傷する場合、ﾊﾟﾙｽ繰返し周 波数が高いと、一つ前のﾊﾟﾙｽが残ってしまい、残留ｴｺｰとして現れる。 この場合ﾊﾟﾙｽ繰返し周波数を低くするとよい。,
91,次の文は、超音波探傷試験における接触媒質の選定について述べたものである。正しいものを一つ選び、 記号で答えよ。,圧延鋼材の黒皮面に縦波垂直探触子を適用する場合には、マシン油を使用する。,表面が研磨された鋼に横波垂直探触子を適用する場合には、マシン油を使用する。,圧延鋼材の黒皮面に横波垂直探触子を適用する場合には、濃度75%以上のグリセリン水溶液を使用する。,横波垂直探触子を使用する場合には横波専用の高粘性接触媒質を使用する。,d,a)表面状態が黒皮面であることから、音響ｲﾝﾋﾟｰﾀﾞﾝｽの高いｸﾞﾘｾﾘﾝを 使用する。 b)横波垂直探触子は液体を伝搬しないため、一般的な接触媒質は使 えない。よって横波専用接触媒質を使用する。 c)上項b)同様、横波専用接触媒質を使用する。 d)正しい。,
92,次の文は、超音波探傷における試験片の標準穴について述べたものである。正しいものを一つ選び、 記号で答えよ。,STB-N1 の標準穴は、横穴である。,RB-41A の標準穴は、平底縦穴である。,STB-A2 の標準穴は、平底縦穴である。,STB-G V15 の標準穴は、横穴である。,c,a)STB-N1 の標準穴は、平底縦穴である。 b)RB-41A の標準穴は、横穴である。 c)正しい。 d)STB-G V15 の標準穴は、平底縦穴である。,
93,次の文は、ＮＤＴ指示書について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT 指示書は、レベル3 の資格者が作成しなければならない。,NDT 指示書は、作業別に必ず準備しなくてはいけない文書である。,NDT 指示書は、作成にあたって購入者の承認を得なければならない。,NDT 指示書は、購入者から提示を求められた場合、参考として開示しなければならない。,d,NDT 指示書はﾚﾍﾞﾙ2 以上の技術者によって作成されるが、必ず準備し なければならない文書ではなく、必要に応じて準備する文書である。 また、この文書はノウハウを含む場合が多く顧客には提出しないが、 提示を求められれば参考として開示する文書である。,
94,次の文は、板材を超音波探傷する際のきずエコーの発生予測について述べたものである。正しいものを 一つ選び、記号で答えよ。,板材は圧延されるので、圧延方向に伸びたきずが板厚の表面に発生することが多い。,板材は、熱間状態から冷却されるときに収縮によるパイプ状きずが板厚の中央付近に発生することが多 い。,板材は、熱間状態から冷却されるときに収縮によるブローホール状きずが板厚の中央付近に発生するこ とが多い。,板材は圧延されるので、圧延方向に伸びた平面状のきずが板厚の中央付近に発生することが多い。,d,鋼板のきずには内部きずと表面きずがあるが、超音波探傷試験の対 象になるのは内部きずである。内部きずの多くはスラブ製造段階で 発生したパイプ、気泡や非金属介在物が原因である。一般に鋼板のき ずは圧延によって長手方向（圧延方向）に延ばされ、板厚に平行で細 長くなっているので、板厚方向の垂直探傷が行われる。,
95,次の文は、鍛鋼品に発生するきずの特徴について述べたものである。正しいものを一つ選び、記号で 答えよ。,偏析きずは、軸状の試験体では、軸方向からの探傷でよく検出される。,ざくきずは、鍛鋼品のほぼ中心付近に集中して検出され、大きいきずの場合、底面エコーの低下が著し い。,粗大結晶粒による林状エコーは、軸状の試験体では中心付近に群立する。,偏析きずは、軸状の試験体では、円周方向の探傷で、検出されない。,b,丸棒状の試験体の偏析きずは、外周から径方向への探傷できずｴｺｰが 検出され、肉厚の中間部で帯状に層となって認められる。また、軸方 向からの探傷では、殆ど検出されないことが多い。 ざくきずは、ほぼ中心付近に集中してきずｴｺｰが検出され、きずが大 きい場合は、底面ｴｺｰの低下が著しい。 林状ｴｺｰは結晶粒が粗い材質の場合に現れ、SN 比の低下できずの識別 性が劣る。低い周波数の探触子又は広帯域探触子を適用することで SN 比の向上を図ることができる。,
96,次の文は、鋳鋼品に生じるきずについて述べたものである。正しいものを一つ選び、記号で答えよ。,鋳込温度が低い場合、溶湯が鋳型内に完全に満たされず、湯回り不良が生じる場合がある。,砂の熱間強度が高い場合、砂かみが生じる可能性がある。,のろかみは溶湯が空気に触れて、溶湯が窒化したものが主である。,ﾌﾞﾛｰﾎｰﾙは、溶接構造物で評価の対象とするきずであるため、鋳物の部材では検出対象としない。,a,a)正しい。 b)砂かみは、注湯時に鋳型の砂粒子が剥離して鋳物の中に巻き込ま れることによって生じる。 c)のろかみは、溶湯と共存していた「のろ」（脱酸生成物）が注湯時 に巻き込まれることによって生じる。 d)鋳物部材段階であっても、ﾌﾞﾛｰﾎｰﾙであっても、きずは検出対象と なる。,
97,次の文は、板厚が20mm 程度の鋼板の突合せ溶接部に発生するきずについて述べたものである。 正しいものを一つ選び、記号で答えよ。,多電極により溶接するｻﾌﾞﾏｰｼﾞｱｰｸ溶接では、層間に融合不良が発生しやすい。,ｻﾌﾞﾏｰｼﾞｱｰｸ溶接は、溶接前にフラックスを散布するので、開先部が濡れるなどしていてもフラックスで 吸収するためブローホールなどのきずは発生しにくい。,CO２半自動溶接を行う溶接部は、風が強い場合などにシールドガスが飛散し、ブローホールなどが発生 しやすい。,Ｘ開先でCO２半自動溶接を行う場合、表面の溶接を行った後、裏面側の１層目は特にガウジングなどを しなくとも溶込みは十分得られるので、溶込み不良などのきずは発生しにくい。,c,ｻﾌﾞﾏｰｼﾞｱｰｸ溶接は溶込みが深く、層間の融合不良は発生しにくいが、 ﾌﾞﾛｰﾎｰﾙが発生しやすい。 溶接部に発生するﾌﾞﾛｰﾎｰﾙの発生原因としては、 ①開先部に付着した水分や錆、ごみ等、②溶接ﾜｲﾔ、ﾌﾗｯｸｽの吸湿、 ③ｼｰﾙﾄﾞｶﾞｽの吸湿や大気混入がある。 現場溶接の場合、ｱｰｸ近傍に強風が流れた場合、ｼｰﾙﾄﾞｶﾞｽを乱し、 大気を巻き込むことによりﾌﾞﾛｰﾎｰﾙが発生する。,
98,次の文は、板厚25mm 程度の鋼板の、X 開先溶接部におけるきずの発生の要因について述べたものであ る。正しいものを一つ選び、記号で答えよ。,ｻﾌﾞﾏｰｼﾞｱｰｸ溶接の場合、フラックス中に水分が存在する場合、ｱﾝﾀﾞｰｶｯﾄが発生しやすい。,CO２半自動溶接の場合、風の影響でCO２ガスのシールドが完全でない場合、割れを発生しやすい。,CO２半自動溶接で多層盛の場合、層間のスラグを良く除去しないと溶込み不良やブローホールが発生し やすい。,被覆アーク溶接で多層盛の場合、表面側の溶接後、裏面側の溶接を行う場合、裏面側開先部のガウジン グを十分行わないと内部の溶込み不良が発生しやすい。,d,a)ﾌﾞﾛｰﾎｰﾙが発生しやすい。 b)ﾌﾞﾛｰﾎｰﾙが発生しやすい。 c)ｽﾗｸﾞ巻込みが発生しやすい。,
99,次の文は、JIS G 0801 の基づく厚鋼板の垂直探傷における探傷条件の選定について述べたものである。 正しいものを一つ選び、記号で答えよ。,鋼板の厚さが9mm の場合、使用できる探触子は二振動子垂直探触子だけである。,鋼板の厚さが12mm の場合、使用できる探触子は二振動子垂直探触子と一振動子垂直探触子である。,鋼板の厚さが65mm の場合、使用できる探触子は二振動子垂直探触子と一振動子垂直探触子である。,鋼板の厚さが48mm の場合、使用できる探触子は一振動子垂直探触子だけである。,a,JIS G 0801 では、探触子の種類は板厚に応じて以下の表により選択 する。 鋼板の厚さ （mm） 探触子の種類 13 未満 二振動子垂直探触子 13 以上60 以下 二振動子垂直探触子又は垂直探触子 60 を超えるもの 垂直探触子,
100,次の文は、JIS G 0801 に基づく鋼板の探傷における探傷箇所について述べたものである。 正しいものを一つ選び、記号で答えよ。,鋼板の探傷箇所の走査区分には、Ａ形、Ｂ形、Ｃ形、Ｄ形の４区分がある。,鋼板の探傷箇所の走査区分Ａ形は、通常、圧延方向及びその直角方向１００ｍｍピッチの線上、又は 圧延方向若しくはその直角方向５０ｍｍピッチの線上を探傷する。,鋼板の探傷箇所の走査区分Ｂ形は、通常、圧延方向及びその直角方向２００ｍｍピッチの線上、又は 圧延方向若しくはその直角方向１００ｍｍピッチの線上を探傷する。,鋼板の探傷箇所の走査区分Ｃ形は、鋼板の四周辺又は開先予定線だけを探傷する。,d,"a)鋼板の探傷箇所の走査区分には、S,A,B,C 形の4 区分がある。 b)鋼板の探傷箇所の走査区分A 形は、通常、圧延方向及びその直角 方向200mm ﾋﾟｯﾁの線上、又は圧延方向若しくはその直角方向100mm ﾋﾟｯﾁの線上を探傷する。 c)鋼板の探傷箇所の走査区分B 形は、圧延方向又はその直角方向 200mm ﾋﾟｯﾁの線上を探傷する。 d)正しい。",
101,次の文は、JIS Z 3060 に基づく鋼溶接部の探傷における探傷範囲の選定について述べたものである。 正しいものを一つ選び、記号で答えよ。,突合せ継手で片面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,突合せ継手で両面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,T 継手で両面片側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,角継手で片面片側から探傷を行う場合、探傷範囲は、直射法の範囲である。,a,JIS Z 3060 付属書B では、探傷方向を以下のように規定している。 突合継手片面両側の探傷：直射法及び一回反射法 突合継手両面両側の探傷：直射法 T 継手片面片側の探傷：直射法及び一回反射法 T 継手両面片側の探傷：直射法 角継手片面片側の探傷：直射法及び一回反射法,
105,次の文は、JIS Z 3060 によりSTB-A2 形系のφ4mm、深さ4mm の標準穴を用いて感度調整する場合につ いて述べたものである。正しいものを一つ選び、記号で答えよ。,屈折角45 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角65 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角70 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角60 度の探触子を使用する場合は、M 線に探傷感度を合わせて探傷を行う。,c,JIS Z 3060 付属書B ではSTB-A2 を使用した感度調整を以下のように 規定している。 公称屈折角 70 度を使用する場合は、標準穴のｴｺｰ高さを H 線に合わ せて必要に応じて感度補正を加えて、探傷感度とする。 公称屈折角 65 度を使用する場合は、標準穴のｴｺｰ高さを M 線に合わ せて必要に応じて感度補正を加えて、探傷感度とする。 公称屈折角 45 度を使用する場合は、標準穴のｴｺｰ高さを H 線に合わ せて調整した後、ｹﾞｲﾝを6dB 上げ、必要に応じて感度補正を加えて、 探傷感度とする。 公称屈折角60 度を使用する場合は、STB-A2 を使用して、感度調整を 行わないものとする。,
106,次の文は、JIS G 0801 に基づく垂直探傷のきず分類に関する規定について述べたものである。 正しいものを一つ選び、記号で答えよ。,エコー高さが100%のきずは、中きずで、表示記号は△となる。,エコー高さが50%のきずは、中きずで、表示記号は△となる。,エコー高さが25%のきずは、軽きずで、表示記号は〇となる。,エコー高さが49%のきずは、中きずで、表示記号は△となる。,a,軽きず：25%＜F１≦50% ⇒ 表示記号〇 中きず：50%＜F１≦100% ⇒ 表示記号△ 重きず：F１＞100% ⇒ 表示記号×,
107,次に示す値は、「鋼構造建築溶接部の超音波探傷検査規準・同解説」に規定する対比試験片のARB の 標準穴の直径について示したものである。正しいものを一つ選び、記号で答えよ。,φ1.4mm,φ3.0mm,φ3.2mm,φ5.6mm,c,下図はARB 対比試験片の寸法・形状を示す。,
108,次の文は、JIS Z 3060 に基づく鋼溶接部の斜角探傷における探傷感度の調整について述べたもので ある。正しいものを一つ選び、記号で答えよ。,探触子の屈折角70 度を使用する場合、RB-41A の標準穴のエコー高さをＨ線に調整する。,探触子の屈折角65 度を使用する場合、RB-41A の標準穴のエコー高さをＭ線に調整する。,探触子の屈折角70 度を使用する場合で、RB-41B を用いる場合、標準穴のエコー高さをＨ線に調整した 後、感度補正量が3dB を超える場合には感度補正を行う。,探触子の屈折角70 度を使用し、使用する最大のﾋﾞｰﾑ路程が200mm の場合で、STB-A2 を用いる場合、 φ4mm、深さ4mm の標準穴のエコー高さをＨ線に調整した後、感度補正量が4dB を超える場合には感度 補正を行う。,a,JIS Z 3060 附属書B では RB-41A による場合、標準穴のｴｺｰ高さが、H 線に一致するようｹﾞｲﾝを 調整し、探傷感度とする。 RB-41B による場合、標準穴のｴｺｰ高さが、H 線に一致するようｹﾞｲﾝを 調整し、必要に応じて感度補正量を加え、その条件を探傷感度とす る。 感度補正量の合計が2dB を超える場合には、感度の補正を行う。 STB-A2 による場合、使用する最大ﾋﾞｰﾑ路程が150mm 以下の場合に適 用する。公称屈折角が70 度を使用する場合、φ4×4mm の標準穴の ｴｺｰ高さがH 線に一致するようにｹﾞｲﾝを調整し、必要に応じて補正感 度量を加え、その条件を探傷感度とする。 補正感度量の合計が2dB を超える場合には、感度の補正を行う。,
109,次の文は、JIS G 0587 に基づく試験片方式による探傷感度の調整の対比試験片について述べたもので ある。正しいものを一つ選び、記号で答えよ。,対比試験片は、減衰係数の程度にかかわらず炭素鋼材を用いる。,対比試験片は、φ2mm、φ4mm、φ8mm の3 種類の平底穴を加工したものを用いる。,対比試験片としてSTB-G V3、STB-G V5、STB-G V8 を用いることができる。,探傷面と探傷面の曲率が異なる対比試験片を使用する場合、鍛鋼品の半径に対し0.5～2.0 倍の半径 の対比試験片が使用できる。,c,"JIS G 0587 の試験片方式では、『対比試験片は、超音波減衰の程度が 鍛鋼品と同等又は減衰係数が既知の材料を用いる。対比試験片は、距 離 20mm,30mm,50mm,80mm 及び 150mm 近傍にそれぞれ同一直径の平底 穴をもつものとする。平底穴の直径は4mm とする。ただし、必要によ っては2mm～8mm の範囲の直径でもよい。また、対比試験片として、 標準試験片STB-G V2,V3,V5,V8 及びSTB-G V15-2 を使用する事がで きる。』と規定されている。 また、鍛鋼品の半径に対し0.7～1.1 倍の範囲の対比試験片が使用で きる。曲率半径4000mm 以上は平面とみなす。",
