id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
71,次の文は、くさび材料のポリスチレンを用いた斜角探触子について述べたものである。正しいものを 一つ選び、記号で答えよ。,摩耗によって磨き減ったクサビはアクリル樹脂板を貼り替えて再生することは、規格で認められている。,摩耗によって磨き減ったクサビを貼り替える場合、アクリル樹脂板が最適である。,摩耗によって磨き減ったクサビを貼り替える場合、超音波の伝達特性を考慮すると、元のクサビの材質 と同じ樹脂板が最適である。,摩耗によって磨き減ったクサビを再生する場合、元の材質にかかわらず超音波が伝達するものであれば どのような樹脂でも使用できる。,c,斜角探触子のクサビは主にｱｸﾘﾙ(PMMA)が使用されているが、その他 にﾎﾟﾘｲﾐﾄﾞ系(PI)、ﾎﾟﾘｽﾁﾚﾝ(PS)などがある。ｱｸﾘﾙが最も安価である が、ﾎﾟﾘｽﾁﾚﾝはこの中で最も減衰が少なく、音響ｲﾝﾋﾟｰﾀﾞﾝｽがｸﾞﾘｾﾘﾝと ほぼ同等であるため、JIS Z 3060 に規定されている100mμRz 以下の 面粗さであれば感度補正をする必要はない。そのため、ﾎﾟﾘｽﾁﾚﾝを用 いた斜角探触子の場合、貼り替えるｸｻﾋﾞの材料は同じﾎﾟﾘｽﾁﾚﾝを使用 するのがよい。また、ﾎﾟﾘｲﾐﾄﾞ系はこの中で最も耐摩耗性があり、熱 変形温度も150～470℃までと高く、高温用探触子に用いられる。,
72,次の文は、フェーズドアレイ探触子について述べたものである。正しいものを一つ選び、記号で答え よ。,フェーズドアレイ探触子は、一枚の大きな振動子で製作されている。,フェーズドアレイ探触子は、複数の振動子を三次元的な配列にして制作されている。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順番を電子的に調整することで、斜めに超 音波を伝搬させることができる。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順序は常に一定の順序である。,c,ｱﾚｲ探触子は、多くの小さい振動子からなり、各々の振動子に励起信号 を印加するﾀｲﾐﾝｸﾞを電気的に制御して、超音波を集束させたり、斜め に伝搬させたりする。この探触子を使用するには、素子数分の送信部 が必要となり、専用の探傷器が用いられる。,
73,次の文は、探触子ケーブルについて述べたものである。正しいものを一つ選び、記号で答えよ。,超音波探傷に用いる探触子ケーブルには、同軸ケーブルが用いられている。内部導体と外部導体及び絶 縁体と被覆で構成されているため、曲げ変形には強い構造となっている。,探触子ケーブルは作業性を重視し、柔らかく耐久性のあるものを選択するのがよい。,現場の探傷作業において、接栓形状の異なる探触子を使用する場合、複数の変換コネクタを用意してお くと、一本の探触子ケーブルで間に合わせることができる。,探触子ケーブルは、安全性を重視し、太くて曲がりにくいものを選択する。,b,探触子ｹｰﾌﾞﾙは、探傷器の送信部からのﾊﾟﾙｽ電圧を探触子に伝え、探触 子が受信した微小な信号を探傷器の受信部に伝える役割を担ってい る。探触子ｹｰﾌﾞﾙには同軸ｹｰﾌﾞﾙが使用されている。同軸ｹｰﾌﾞﾙには種々 の太さのｹｰﾌﾞﾙがあるが、一般的な電灯線ほど丈夫でない。したがっ て、極端な角度に折れ曲げたりしないことはもちろん、現場作業にお いては予備のｹｰﾌﾞﾙを準備しておくことも必要である。 ｹｰﾌﾞﾙの両端にはｺﾈｸﾀ（接栓）があり、接続を容易にしている。ｺﾈｸﾀに は数種類あり、探触子及び探傷器に適合するものを用いる。,
74,次の文は、垂直探触子の保護膜について述べたものである。正しいものを一つ選び、記号で答えよ。,保護膜を使用すると安定した超音波の伝達が可能となるので、垂直探傷のほか斜角探傷や板波探傷でも 用いる。,保護膜の厚さが変化すると、同じ反射源でもエコー高さが変化する。,保護膜の厚さの変化は、試験周波数には影響を及ぼさない。,保護膜を使用すると、一般にパルス幅が小さくなる。,b,保護膜は、振動子を保護する役割もあるが、探傷面が粗い場合に接触 のなじみを良くし、保護膜がない場合より、安定した探傷ができる。 直接接触法の垂直探触子では、振動子の前面に保護膜を取り付けて いるが、斜角探触子では、くさびを取り付けており、保護膜は取り付 けない。垂直探触子に保護膜を使用する場合、その厚さによって超音 波の透過率が変化し、同じ反射源からのｴｺｰ高さは変化する。 保護膜の厚さが厚く、透過率が悪い場合、試験周波数が高いと十分な 反射ｴｺｰが得られない場合がある。,
75,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,デジタル探傷器は、探触子ごとのエコー高さ区分線を一度作成しておけば、長時間にわたって エコー高さ区分線を使用することができる。,デジタル探傷器に接続した探触子は、探傷前に入射点、屈折角を調整しておけば使用中の探触子の 変化は自動的に補正される。,デジタル探傷器では、探触子の走査速度を早くすると探傷ﾃﾞｰﾀを数値として記憶するため、その サンプリングを細かくしないとエコーの最大値が真の値と異なる場合がある。,デジタル探傷器はメモリ機能が優れているので、アナログ探傷器に比べて電池の消耗が著しい。,c,ﾃﾞｼﾞﾀﾙ探傷器は、ｻﾝﾌﾟﾘﾝｸﾞの頻度（周波数）が多いと再現表示される 波形は受信した波形に近くなり、ｻﾝﾌﾟﾘﾝｸﾞ頻度が少ないと本来の最 大値を表示できない場合がある。,
76,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,一度保存したエコー高さ区分線を、異なる屈折角の探触子でも再び呼び出して使用することができる。,斜角探触子の屈折角及び板厚を入力しておくと、斜角演算機能により、きずの深さ位置及び探触子きず 距離を表示できる。,デジタル探傷器は、探傷結果の電気的な読取りが速い。そのため、走査速度はアナログ探傷器よりもか なり速くできる。,デジタル探傷器は、送信信号もデジタル化されている。,b,デジタル探傷器 :表示から設定調整器までデジタルで行うもので、 探傷器の設定の記憶、ビーム路程の数値表示、斜角探傷における反射 源の深さや反射源－探触子距離の表示ができ、更には探傷図形の記憶 やプリンターと接続して探傷図形をプリントしたりできる等、アナロ グ探傷器にはない多彩な機能を持っている。,
77,次の文は、デジタル探傷器を用いた作業について述べたものである。正しいものを一つ選び、記号で答 えよ。,デジタル探傷器では、ゲート内に現れたエコーの位置を表示する機能が備わっている。このため、 ゲートの起点はビーム路程零点付近から測定範囲の最大値まで設定しておくと作業能率が向上する。,デジタル探傷器では、音速値を設定すれば、測定範囲の調整ができる。,デジタル探傷器では、各種の探傷に適切なゲート位置、ゲート幅を調整する必要がある。,デジタル探傷器では、一度標準試験片で測定した入射点、屈折角及び作成したエコー高さ区分線を記 憶しておけば、探傷現場に標準試験片を持参して調整しなくても探傷可能である。,c,ﾃﾞｼﾞﾀﾙ探傷器では、ｹﾞｰﾄを使用することで、目的のｴｺｰに対する種々 の数値を表示する役割として主に使用する。ｴｺｰ高さについては、多 くはｹﾞｰﾄ内の最大高さを検出してｴｺｰ高さを表示する。ｹﾞｰﾄ内に二つ 以上のｴｺｰが表示されている場合、一番高いｴｺｰの高さが表示される （機種によってはｹﾞｰﾄ内の最初のｴｺｰで表示の場合もある）。したがっ て、設定したｹﾞｰﾄ内に着目するｴｺｰのみにｹﾞｰﾄがかかるようにｹﾞｰﾄの 幅、位置などを調整する必要がある。,
79,次の文は、超音波探傷器のパルス繰返し周波数について述べたものである。正しいものを一つ選び、 記号で答えよ。,パルス繰返し周波数を高くすると、林状エコーが生じやすくなる。,パルス繰返し周波数を高くすると、遅れエコーが生じやすい。,パルス繰返し周波数を高くすると、残留エコーが生じやすい。,パルス繰返し周波数を高くすると、自動探傷速度を速くできない。 [1] [2] [3] [4],c,残留ｴｺｰとはﾊﾟﾙｽ反射法において試験体中のｴｺｰが次のﾊﾟﾙｽが送信さ れた後も残っているため、受信されて探傷図形に現れるｴｺｰをいう。 ｺﾞｰｽﾄｴｺｰともいう。減衰の少ない材料を探傷する場合、ﾊﾟﾙｽ繰返し周 波数が高いと、一つ前のﾊﾟﾙｽが残ってしまい、残留ｴｺｰとして現れる。 この場合ﾊﾟﾙｽ繰返し周波数を低くするとよい。,
80,次の文は、超音波探傷における不感帯について述べたものである。正しいものを一つ選び、記号で答え よ。,不感帯の大きさは、試験体の金属組織に大きく影響される。,不感帯とは送信パルスやくさび内エコーのため超音波探傷ができない領域のことをいう。,不感帯の大きさは、使用探触子の近距離音場限界距離に反比例する。,不感帯の大きさは、測定範囲の大小に比例する。,b,不感帯は送信ﾊﾟﾙｽの追い込みやクサビ内ｴｺｰのため超音波探傷ができ ない領域であり不感帯は短いほうがよい。,
81,次の文は、超音波探傷器における分解能について述べたものである。正しいものを一つ選び、記号で答 えよ。,分解能には、近距離分解能、遠距離分解能及び時間軸分解能の３つがある。,方位分解能とは、探傷面からある程度以上の深さにあって、深さ位置の異なる接近した２個の反射源か らのエコーを区分して識別できる能力をいう。,近距離分解能とは、垂直探傷において、近距離音場限界距離内にあるきずエコーと、近接するエコーと を区別して識別できる能力をいう。,遠距離分解能とは、遠距離音場内にあるビーム路程の異なる２個の反射源からのエコーを区別して識別 できる能力をいう。,d,a)分解能には近距離分解能、遠距離分解能、方位分解能の3 つ。 b)方位分解能は、同じ距離にある 2 個の反射源を 2 個として識別で きる能力。 c)近距離分解能は、垂直探傷において、探傷面に接近した反射源と探 傷面からのｴｺｰを識別できる能力。 d)遠距離分解能は、探傷面から離れたところにある2 個の反射源か らのｴｺｰを識別できる能力。,
82,次の文は、接触媒質について述べたものである。正しいものを一つ選び、記号で答えよ。,グリセリンと油を比較するとグリセリンの方が伝達効率が高い。,グリセリンと油を比較するとグリセリンの方が音響インピーダンスが低い。,グリセリンと油の音響インピーダンスは変わらない。,グリセリンとグリセリンペーストを比較するとグリセリンペーストの方が音響インピーダンスは大き い。,a,a)グリセリンの方が伝達効率が高いので、正しい。 b)グリセリンの方が音響インピーダンスが高い。 c)グリセリンの方が音響インピーダンスが高い。 d)グリセリンペーストはグリセリンに界面活性剤、粘性剤、防錆剤を 添加したもので、濃度75%以上のグリセリンと同じ伝達効率である。,
83,次の文は、接触媒質について述べたものである。正しいものを一つ選び、記号で答えよ。,接触媒質は、作業性を重視し、安価なものを用いた方が経済的である。,ｸﾞﾘｾﾘﾝﾍﾟｰｽﾄは、グリセリンに少量の界面活性剤と粘性剤を添加したもので、伝達効率がよく、発錆作用 が全くないのが特徴である。,グリセリンは、伝達効率がよく、表面粗さが粗い場合や黒皮付きの鋼板にも適用可能で、グリセリン濃 度50%以上で使用することがJIS Z 3060 で規定されている。,マシン油は、防錆効果があり標準試験片に適用されるが、グリセリンに比べて超音波の伝達効率は低い。,d,a)接触媒質は安価で入手しやすいことは重要であるが、伝達効率の良 いものを選択する必要がある。 b)ｸﾞﾘｾﾘﾝﾍﾟｰｽﾄはｸﾞﾘｾﾘﾝに少量の界面活性剤と粘性剤を添加したもの で、ｸﾞﾘｾﾘﾝ同様の伝達効率があるが、ｸﾞﾘｾﾘﾝ同様、発錆作用がある。 c)濃度75%以上のものを使用する。 d)ﾏｼﾝ油とｸﾞﾘｾﾘﾝの音響ｲﾝﾋﾟｰﾀﾞﾝｽはｸﾞﾘｾﾘﾝの方が高いため、超音波 の伝達効率はｸﾞﾘｾﾘﾝの方がよい。,
84,次の文は、横波垂直探触子を用いた探傷に使用する接触媒質について述べたものである。正しいものを 一つ選び、記号で答えよ。,マシン油を使用する。,グリセリンペーストを使用する。,水を使用する。,専用の接触媒質を使用する。,d,横波垂直探触子は液体(水、ｸﾞﾘｾﾘﾝﾍﾟｰｽﾄ、ﾏｼﾝ油)を伝搬しないため、 一般的な接触媒質は使えない。よって横波専用接触媒質を使用する。,
85,次の文は、標準試験片の音速について述べたものである。正しいものを一つ選び、記号で答えよ。,鋼中の音速は、縦波5900m/s、横波3230m/s であるので、STB-A1 を用いて探傷器の調整を行うにはこ の値を使用すればよい。,標準試験片であっても、音速は個別に測定する必要がある。,STB-A1、STB-A2 形系及びSTB-A3 形系標準試験片の横波音速は全て同じである。,STB-A1 は材質がSM490 であるので、どの試験片でも音速は同じである。,b,JIS Z 2345-1 附属書A では、『試験片の音速測定方法』が規定され、 本文6.試験片の音速では、音速の許容値をSTB-A1 の縦波音速が 5920m/s±30m/s、横波音速が3245m/s±15m/s と規定されている。,
86,次の文は、ＮＤＴ指示書について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT 指示書は、レベル3 の資格者が作成しなければならない。,NDT 指示書は、作業別に必ず準備しなくてはいけない文書である。,NDT 指示書は、作成にあたって購入者の承認を得なければならない。,NDT 指示書は、購入者から提示を求められた場合、参考として開示しなければならない。,d,NDT 指示書はﾚﾍﾞﾙ2 以上の技術者によって作成されるが、必ず準備し なければならない文書ではなく、必要に応じて準備する文書である。 また、この文書はノウハウを含む場合が多く顧客には提出しないが、 提示を求められれば参考として開示する文書である。,
87,次の文は、板材を超音波探傷する際のきずエコーの発生予測について述べたものである。正しいものを 一つ選び、記号で答えよ。,板材は圧延されるので、圧延方向に伸びたきずが板厚の表面に発生することが多い。,板材は、熱間状態から冷却されるときに収縮によるパイプ状きずが板厚の中央付近に発生することが多 い。,板材は、熱間状態から冷却されるときに収縮によるブローホール状きずが板厚の中央付近に発生するこ とが多い。,板材は圧延されるので、圧延方向に伸びた平面状のきずが板厚の中央付近に発生することが多い。,d,鋼板のきずには内部きずと表面きずがあるが、超音波探傷試験の対 象になるのは内部きずである。内部きずの多くはスラブ製造段階で 発生したパイプ、気泡や非金属介在物が原因である。一般に鋼板のき ずは圧延によって長手方向（圧延方向）に延ばされ、板厚に平行で細 長くなっているので、板厚方向の垂直探傷が行われる。,
88,次の文は､溶接部の斜角探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,一般に、V 開先の溶込み不良は、ブローホールより高いエコー高さになる。,X 開先の溶込み不良は、V 開先の溶込み不良に比べて著しく高いエコー高さになる場合がある。,割れは面状きずで、かつ、面がギザギザしているのでいつも高いエコー高さになる。,ブローホールは球状となっているので、反射指向性が大きく高いエコー高さになる。,a,a)正しい。 b)X 開先の溶込み不良はﾀﾝﾃﾞﾑ探傷法により検出する方がよい。 c)割れに対する超音波の入射角の変化や割れ面のギザギザにより いつも高いエコー高さを与えるとは限らない。 d)ﾌﾞﾛｰﾎｰﾙは球状のため超音波での検出は困難とされている。,
89,次の文は、溶接部のきずの発生予測について述べたものである。正しいものを一つ選び、記号で答えよ。,溶接部に発生する融合不良は、ルート面にだけ発生する。,溶接部に発生するスラグ巻込みは、開先面や多層盛の層間に発生する。,溶接部に発生するブローホールは、開先面に発生する。,溶接部に発生する溶込み不良は、開先面に発生する。,b,きずの発生位置 融合不良：開先面及び層間 ｽﾗｸﾞ巻込み：開先面及び層間 ﾌﾞﾛｰﾎｰﾙ：溶接部全域 溶込み不良：ﾙｰﾄ部,
90,次の文は、JIS G 0801 に基づく鋼板の探傷における探傷箇所について述べたものである。正しいものを 一つ選び、記号で答えよ。,鋼板の探傷箇所の走査区分には、Ａ形、Ｂ形、Ｃ形、Ｄ形の４区分がある。,鋼板の探傷箇所の走査区分Ａ形は、通常、圧延方向及びその直角方向１００ｍｍピッチの線上、又は 圧延方向若しくはその直角方向５０ｍｍピッチの線上を探傷する。,鋼板の探傷箇所の走査区分Ｂ形は、通常、圧延方向及びその直角方向２００ｍｍピッチの線上、又は 圧延方向若しくはその直角方向１００ｍｍピッチの線上を探傷する。,鋼板の探傷箇所の走査区分Ｃ形は、鋼板の四周辺又は開先予定線だけを探傷する。,d,"a)鋼板の探傷箇所の走査区分には、S,A,B,C 形の4 区分がある。 b)鋼板の探傷箇所の走査区分A 形は、通常、圧延方向及びその直角 方向200mm ﾋﾟｯﾁの線上、又は圧延方向若しくはその直角方向100mm ﾋﾟｯﾁの線上を探傷する。 c)鋼板の探傷箇所の走査区分B 形は、圧延方向又はその直角方向 200mm ﾋﾟｯﾁの線上を探傷する。 d)正しい。",
91,次の文は、JIS Z 3060 に基づく鋼溶接部の探傷における探傷範囲の選定について述べたものである。 正しいものを一つ選び、記号で答えよ。,突合せ継手で片面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,突合せ継手で両面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,T 継手で両面片側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,角継手で片面片側から探傷を行う場合、探傷範囲は、直射法の範囲である。,a,JIS Z 3060 付属書B では、探傷方向を以下のように規定している。 突合継手片面両側の探傷：直射法及び一回反射法 突合継手両面両側の探傷：直射法 T 継手片面片側の探傷：直射法及び一回反射法 T 継手両面片側の探傷：直射法 角継手片面片側の探傷：直射法及び一回反射法,
94,次の文は、JIS Z 3060 によりSTB-A2 形系のφ4mm、深さ4mm の標準穴を用いて感度調整する場合につ いて述べたものである。正しいものを一つ選び、記号で答えよ。,屈折角45 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角65 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角70 度の探触子を使用する場合は、H 線に探傷感度を合わせて探傷を行う。,屈折角60 度の探触子を使用する場合は、M 線に探傷感度を合わせて探傷を行う。,c,JIS Z 3060 付属書B ではSTB-A2 を使用した感度調整を以下のように 規定している。 公称屈折角 70 度を使用する場合は、標準穴のｴｺｰ高さを H 線に合わ せて必要に応じて感度補正を加えて、探傷感度とする。 公称屈折角 65 度を使用する場合は、標準穴のｴｺｰ高さを M 線に合わ せて必要に応じて感度補正を加えて、探傷感度とする。 公称屈折角 45 度を使用する場合は、標準穴のｴｺｰ高さを H 線に合わ せて調整した後、ｹﾞｲﾝを6dB 上げ、必要に応じて感度補正を加えて、 探傷感度とする。 公称屈折角60 度を使用する場合は、STB-A2 を使用して、感度調整を 行わないものとする。,
95,次に示す値は、「鋼構造建築溶接部の超音波探傷検査規準・同解説」に規定する対比試験片のARB の標準 穴の直径について示したものである。正しいものを一つ選び、記号で答えよ。,φ1.4mm,φ3.0mm,φ3.2mm,φ5.6mm,c,下図はARB 対比試験片の寸法・形状を示す。,
96,次の文は、JIS Z 3060 について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060 に規定している領域とは、エコー高さを測定してきずを分類するために、表示器上に作成さ れたエコー高さの範囲をいう。,JIS Z 3060 に規定している領域とは、エコー高さによってきずの種類を推定するために、表示器上に作 成されたエコー高さの範囲をいう。,JIS Z 3060 に規定している領域Ⅱとは、M 線とH 線に囲まれた領域をいう。,JIS Z 3060 では、距離振幅特性曲線により作成されたエコー高さ区分の範囲を、下から領域Ⅰ、Ⅱ、Ⅲ、 Ⅳ及びⅤと名付けている。,a,a)正しい。 b)JIS Z 3060 ではｴｺｰ高さからきずの種類を推定するような規定は なく、領域はきずを評価するために用いられる。 c)JIS Z 3060 で規定している領域は、L 線以下をⅠ、L 線を超えM 線 以下をⅡ、M 線を超えH 線以下をⅢ、H 線を超えるものをⅣとしてい る。 d)JIS Z 3060 ではb)で記したように、領域はⅠからⅣまでとなって おり、領域ⅤというのはH 線+6dB をU 線として、U 線を超える範 囲を『日本建築学会規準』でⅤ領域と規定している。,
97,次の文は、JIS Z 3060 による鋼溶接部の斜角探傷において、探傷条件を調整する内容について述べた ものである。正しいものを一つ選び、記号で答えよ。,斜角探触子の入射点の測定及び測定範囲の調整に、STB-A22 試験片を用いる。,使用する最大ビーム路程が200mm 以下であれば、探傷感度の調整にはSTB-A2 のφ4mm、深さ4mm の標準 穴を用いる。,エコー高さ区分線の作成には、試験体の板厚にかかわらずRB-41A №4 を用いる。,エコー高さ区分線の時間軸方向の作成範囲は、探傷に使用するビーム路程より大きい範囲とし、その 本数は3 本以上とする。,d,a)斜角探触子の入射点及び測定範囲の調整は STB-A1 又は A3 が使用 される。 b)STB-A2 で使用する最大ﾋﾞｰﾑ路程は150mm 以下としている。 c)RB-41A を使用してｴｺｰ高さ区分線を作成する場合、試験体の板厚に 応じて試験片の番号が規定されている。 d)正しい。,
98,次の文は、JIS Z 3060 に基づく鋼溶接部の斜角探傷における探傷感度の調整について述べたものであ る。正しいものを一つ選び、記号で答えよ。,探触子の屈折角70 度を使用する場合、RB-41A の標準穴のエコー高さをＨ線に調整する。,探触子の屈折角65 度を使用する場合、RB-41A の標準穴のエコー高さをＭ線に調整する。,探触子の屈折角70 度を使用する場合で、RB-41B を用いる場合、標準穴のエコー高さをＨ線に調整した 後、感度補正量が3dB を超える場合には感度補正を行う。,探触子の屈折角70 度を使用し、使用する最大のﾋﾞｰﾑ路程が200mm の場合で、STB-A2 を用いる場合、 φ4mm、深さ4mm の標準穴のエコー高さをＨ線に調整した後、感度補正量が4dB を超える場合には感度 補正を行う。,a,JIS Z 3060 附属書B では RB-41A による場合、標準穴のｴｺｰ高さが、H 線に一致するようｹﾞｲﾝを 調整し、探傷感度とする。 RB-41B による場合、標準穴のｴｺｰ高さが、H 線に一致するようｹﾞｲﾝを 調整し、必要に応じて感度補正量を加え、その条件を探傷感度とす る。 感度補正量の合計が2dB を超える場合には、感度の補正を行う。 STB-A2 による場合、使用する最大ﾋﾞｰﾑ路程が150mm 以下の場合に適 用する。公称屈折角が70 度を使用する場合、φ4×4mm の標準穴の ｴｺｰ高さがH 線に一致するようにｹﾞｲﾝを調整し、必要に応じて感度補 正量を加え、その条件を探傷感度とする。 感度補正量の合計が2dB を超える場合には、感度の補正を行う。,
99,次の文は、JIS Z 3060 に基づく曲率半径が200mm の円周継手溶接部の斜角探傷における探傷感度の調 整について述べたものである。正しいものを一つ選び、記号で答えよ。,RB-41A を用いて探傷感度を調整する。,RB-41B を用いて探傷感度を調整する。,RB-42 を用いて探傷感度を調整する。,RB-43 を用いて探傷感度を調整する。,c,JIS Z 3060 では、円周継手溶接部において曲率半径が1000mm 未満の 場合は曲率を有するとみなし、特に曲率半径が 250mm 未満の場合は 探傷面が曲率をもつ RB-42 又は RB-A6 を利用し、探傷感度の調整を 行う。,
100,次の文は、JIS Z 3060 にもとづく曲率半径が225mm の長手継手溶接部の斜角探傷における探傷感度の 調整について述べたものである。正しいものを一つ選び、記号で答えよ。,RB-41A を用いて探傷感度を調整する。,RB-42 を用いて探傷感度を調整する。,RB-43 を用いて探傷感度を調整する。,RB-A6 を用いて探傷感度を調整する。,c,JIS Z 3060 では、長手継手溶接部において曲率半径が1500mm 未満の 場合は曲率を有するとみなし、特に曲率半径が 250mm 未満及び肉厚 対外径比が16%以下の場合は探傷面が曲率をもつRB-43 を利用し、探 傷感度の調整を行う。,
101,次の文は、JIS Z 3060 に記載されているRB-41A について述べたものである。正しいものを一つ選び、 記号で答えよ。,RB-41A を用いてエコー高さ区分線を作成する場合、基準となる反射源に探触子を正対させるには、探 触子を試験片の側面に沿わせて前後走査させるとよい。,RB-41A は自作が可能で、直径3.2mm の横穴を加工する。,RB-41A は、探傷面を標準試験片のように平滑な面仕上げにする。,RB-41A は、試験体と同等の音響特性の鋼材、探傷面の状態で、曲率をもたないものとする。,d,反射源に探触子を正対させても、ﾋﾞｰﾑに偏りがあるとﾋﾟｰｸｴｺ-を検出 出来ているとは限らない。 走査は反射源の中央で行う。JIS Z 3060 でRB-41A は、『試験体と同等の音響特性の鋼材、探傷面の状態で、曲 率をもたないものとする。試験体との音速差は±2%以内、感度補正量 の差が±2dB 以内とする。』と規定されている。RB-41A は試験体の厚 さによって横穴の直径を3mm、6mm と変化させておりNo.7 は250mm を 超える厚物まで適用できる。,
102,次の文は、JIS Z 3060 に記載されている対比試験片について述べたものである。正しいものを一つ選 び、記号で答えよ。,RB-41A の標準穴は、板厚によってφ3.0mm とφ6.0mm の横穴がある。,RB-41A は、曲率のある円周継手溶接部の探傷に用いる対比試験片である。,RB-42 は、曲率のある長手継手溶接部の探傷に用いる対比試験片である。,RB-A6 の標準穴は、φ3.0mm の横穴がある。,a,RB-41 は試験体の厚さによって横穴の直径を3mm、6mm と変化させた もので、No.7 は250mm を超える厚物まで適用できる。探傷面の曲率 半径が50mm 以上1000mm 未満の円周継手溶接部の探傷には、RB-42 が 適用され反射源には直径 3mm の横穴が加工されている。探傷面の曲 率半径が50mm 以上1500mm 未満で、肉厚対外径比が16%以下の長手継 手溶接部の探傷には、RB-43 が適用される。また、RB-A6 は、円周継 手溶接部の探傷に適用され、直径4mm、深さ4mm の平底穴が加工され ている。,
103,次の文は、斜角探傷における超音波探傷器の探傷図形について述べたものである。正しいものを一つ選 び、記号で答えよ。,鋼溶接部の斜角探傷試験において、ゲート範囲は測定範囲全体に掛けておくと、作業効率を上げること ができる。,探傷の際、表示器の表示モードは常時ＭＡ波形表示に設定しておいた方が、きずの最大エコーを正しく 測定することができる。,デジタル探傷器を用いて斜角探傷を行う場合、あらかじめ探傷装置に屈折角と板厚の数値を入力して,デジタル探傷器を用いて斜角探傷を行う場合、ビーム路程の読み取りはゲートで捉えられたエコーにつ いて、表示部に示された数値を読み取るのがよい。,d,ｴｺｰ高さについては、多くはｹﾞｰﾄ内の最大高さを検出してｴｺｰ高さを 表示する。ｹﾞｰﾄ内に二つ以上のｴｺｰが表示されている場合、一番高い ｴｺｰの高さが表示される。したがって設定したｹﾞｰﾄ内に着目するｴｺｰ より高いｴｺｰがある場合、着目するｴｺｰのみにｹﾞｰﾄが掛かるように ｹﾞｰﾄ幅、位置などを調整する必要がある。,
104,次の文は、斜角探触子（5Z10×10A45、5Z10×10A60、5Z10×10A70）を用いた場合の鋼のコーナー エコーの反射率について述べたものである。正しいものを一つ選び、記号で答えよ。,反射率が高い順から並べると、７０度、６０度、４５度となる。,反射率が高い順から並べると、６０度、７０度、４５度となる。,反射率は、いずれも同じである。,反射率が最も低いのは、６０度である。,d,ｺｰﾅｰｴｺｰでの反射率は、高い順から並べると、45 度、70 度、60 度の 順となる。 （45 度は全反射、70 度は約50%、60 度は13%の反射率）,
105,音響異方性のある材料を横波垂直探触子を用いて厚さ測定したところ下記のような値が得られた。 この材料のSTB 音速比は である。正しいものを一つ選び、記号で答えよ。 試験体の厚さ（ｍｍ） STB-A1 厚さ（ｍｍ） マイクロメータでの測定 32.18 25.02 横波垂直探触子での測定 31.38 24.98,0.974,0.975,1.024,1.027,c,JIS Z 3060 では、STB 音速比の測定方法として以下のように規定し ている。 a)縦波探触子を使用する超音波厚さ計又は寸法測定器によって測定 した試験体及び標準試験片の板厚をそれぞれt(mm)、t (mm)とする。 M SM b)探傷器に使用する横波垂直探触子の振動方向が、試験体の探傷方 向と一致するようにして得られた板厚及び標準試験片で得られた板 厚をそれぞれt(mm)、t (mm)とする。 S STB c)これらの比を式(1)によって小数点以下3 桁まで求め、これをSTB 音速比(V/V )とする。 STB V/V =(t × t )/(t × t) …(1) この式より STB M STB SM S V/V =(32.18×24.98)/(25.02×31.38)=1.024 となる。 STB,
106,次の文は、鋼材溶接部に適用するV 透過探傷法について述べたものである。正しいものを一つ選び、 記号で答えよ。,Ｖ透過探傷法は、スラグ巻込みの検出に有効である。,Ｖ透過探傷法は、ブローホールの検出に有効である。,Ｖ透過探傷法は、層間の融合不良の検出に有効である。,Ｖ透過探傷法は、腐食の測定に有効な方法である。,c,V 透過探傷法は溶接部を挟んで送信用、受信用の探触子を対向させて 配置し、きずを見つける方法である。この場合、探傷面と平行のきず が最も良く見つけることができ、溶接部のきずの中ではﾊﾟｽ間層の融 合不良の検出が有効である。,
107,次の文は、Ｋ走査探傷法について述べたものである。正しいものを一つ選び、記号で答えよ。,Ｋ走査探傷法とは、鋼材溶接部のブローホールの検出を目的とした探傷法である。,Ｋ走査探傷法とは、鉄筋圧接部の不完全接合部の検出に用いる探傷法である。,Ｋ走査探傷法とは、探触子を向かい合わせた状態で探傷する方法である。,Ｋ走査探傷法とは、角継手の溶込み幅の測定に有効な探傷法である。,b,K 走査探傷法とは、鉄筋圧接部の不完全接合部を検出する探傷法であ る。鉄筋ガス圧接部の超音波探傷試験では、送信側探触子を鉄筋ﾘﾌﾞ 上にｾｯﾄし、反対側ﾘﾌﾞに受信側探触子をｾｯﾄして不完全接合部からの 反射波を検出する。送信側探触子から発信された超音波が不完全接 合部で反射され受信側探触子に受信される超音波の経路が英字の K に似ている所から、この探傷法をK 走査探傷法と呼ぶ。,
