id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
94,次は薄肉管に対する特性周波数 fc(tube)の式を示す。 正しいものを一つ選び記号で答えよ。ただし， σ は試験体の導電率，µ は試験体の透磁率，t は試験体の肉厚，b は試験体の外径をあらわす。,ｆc(tube)= 2/πσμｔ(b-2t),ｆc(tube)= 1/πσμｔ(b-2t),ｆc(tube)= σ/πμｔ (b-2t),ｆc(tube)= 2ｔ/πσμ(b-2t),,a,154P 8.2.1(4)1) (a)𝑓𝑐(𝑡𝑢𝑏𝑒) = 2 𝜋𝜎𝜇𝑡(𝑏−2𝑡) ⁄ が正しい。NDT ﾌﾗｯｼｭに解説あり。,
95,次は，探傷器の直交出力電圧成分 Ex と Ey ときず信号の位相角 θ との間の関係について示したも のである。正しいものを一つ選び記号で答えよ。,θ ＝ Ex / Ey,θ ＝ Ey / Ex,θ ＝ tan-1（Ex / Ey）,θ ＝ tan-1（Ey / Ex）,,d,100P 6.6.1，125P 7.3.1(2)2)②位相法 旧ETⅡテキスト117P 図7.45 一般的な渦電流探傷器の表示画面は，試験コイルのインピーダンス変化が，図に示すベクトル軌跡とし て観測することができる。この表示画面は，直交する出力電圧成分EX とEY より成立っており，伝熱管 の保守検査では，直交出力電圧成分を2 ペンレコーダーなどにより同時に記録を取り，チャート波形 よりきず信号の位相角 θ = tan-1（Ey/Ex）を計算によって求めている。したがって正答は(d)となる。,et_2022_10_q95.png
96,次は，探傷器の直交出力電圧成分 Ex と Ey ときず信号の位相角 θ との間の関係について示したも のである。正しいものを一つ選び記号で答えよ。,tanθ ＝ Ex / Ey,tanθ ＝ Ey / Ex,tan-1θ ＝ Ex / Ey,tan-1θ ＝ Ey / Ex,,b,100P 6.6.1，125P 7.3.1(2)2)②位相法 旧ETⅡテキスト117P 図7.45 一般的な渦電流探傷器の表示画面は，試験コイルのインピーダンス変化が，図に示すベクトル軌跡とし て観測することができる。この表示画面は，直交する出力電圧成分EX とEY より成立っており，伝熱管 の保守検査では，直交出力電圧成分を2 ペンレコーダーなどにより同時に記録を取り，チャート波形 よりきず信号の位相角tan θ =Ey/Ex を計算によって求めている。したがって正答は(ｂ)となる。,
97,渦流探傷試験において、SN 比が高くなることは何を意味するか。次のうちから正しいものを選べ。,試験体により大きな渦電流を発生させることができる。,試験体内における渦電流の表皮深さをより大きくすることができる。,試験体内の渦電流分布が収縮するので、きず形状が分かるようになる。,試験体における小さなきずの指示がより明瞭になる。,,d,（新問題集に解説あり） 110P 7.2.3(2)④ d）が正しい。 補＞SN 比（信号S 対雑音N の比）が高いほど小さなきず信号がより明瞭になる。単位はdB。 𝑆 𝑁(dB) = 20 log10(𝑠𝑖𝑔𝑛𝑎𝑙𝑛𝑜𝑖𝑠𝑒 ⁄ ) JIS Z 2300:2020「非破壊試験用語」より，「SN 比：信号に対するノイズ（雑音）の量を対数で表した比」 とある。 JIS Z 2315-1991「渦流探傷装置の総合性能の測定方法」で，検出力をSN 比で表すよう規定している。,et_2022_10_q97.png
98,きず信号とノイズが図6.7 に示すような位相関係にある。この ときにＹ軸出力のSN 比が最も高くなるようにするためには， 移相器の位相調整をどのようにすれば良いか。次の中から正 しいものを一つ選び，記号で答えなさい。,π/6rad（30°）遅らせる,π/6rad（30°）進ませる,π/3rad（60°）進ませる,π/3rad（60°）遅らせる,,b,P84 6.1.6 図6.1.9 図6.1.9 の解説に従えば，設問の図6.7 の制御信号はy 軸方向で あり，移相器の位相調整はy 軸を回転させることになる。S/N の良 い条件は，出力軸y（制御信号）ときずの位相が直角であることな ので，出力軸y（制御信号）を移相器調整でπ/6 進ませればよい。 b）が正しい。,et_2022_10_q98.png
99,図6.12 はきず信号及び雑音のベクトルを示したものである。 きず信号のＳＮ比を最大にするためには同期検波器の位相を 何度に設定すべきか。正しいものを一つ選び，記号で答えな さい。なお，本問においては，例えば信号ベクトルがⅹ軸上 に乗っているとすれば，同期検波の位相を0 度に設定したと きに，この信号は最も大きく出力されるものとする。,20°,60°,110°,150°,,c,84P 6.1.6 図6.1.9 設問では制御信号は0°でX 軸と重なっている。同期検波器の移相設定（制御信号）が20°で制御信号 と雑音信号が重なり，雑音最大となる。制御信号と雑音の移相差を直角に定めれば制御信号に雑音の投 影がないから雑音を抑制できる。ゆえに移相器を20°±90°とする。±のうちマイナス側の記述がない ので，c）が正解。,et_2022_10_q99.png
100,渦流探傷試験における同期検波回路の動作ついて述べた。次のうちから正しいものを選べ。,入力信号と制御信号との位相差が０°のとき出力信号が最小となる。,入力信号と制御信号との位相差が９０°のとき出力信号が最大となる。,制御信号と雑音との位相差が０°に近いほどＳＮ比が高くなる。,制御信号と雑音との位相差が９０°に近いほどＳＮ比が高くなる。,,d,（新問題集に解説あり） 84P 6.1.6 図6.1.9 ガタ雑音の位相に対しπ/2rad（90°）の位相差をとるように制御信号を定めれば、きず信号のＳ/Ｎ比 が向上する。,
101,図は貫通プローブと丸棒の試験体の位置関係を示す。記号で示 される各試験体部分のきずの検出感度について正しいものを次の うちから一つ選び，記号で答えなさい。,きずの検出感度か最も高いのは、Ａの部分である。,きずの検出感度が最も高いのは、ＢとＤの部分である。,きずの検出感度が最も高いのは、Ｃの部分である。,きずの検出感度は、試験体の位置によっては変わらない。,,c,（新問題集に解説あり） 65P 4.5.6 コイルに近い方が感度は高くなる。,et_2022_10_q101.png
103,電磁誘導試験による導電率測定において，比較的厚い試験体の厚さの影響を小さくするにはどうすれ ばよいか。正しいものをーつ選び，記号で答えなさい。,試験周波数を高くする。,試験周波敏を低くする。,リフトオフを大きくする。,感度を高くする。,,a,（新問題集に解説あり） 189P 9.1.1(1) 試験体が薄い場合は，試験周波数を調整して（表皮深さδを調整して），試験体の厚さ＝3 倍 以上にする。(a)が正しい。,
104,次の文は，電磁誘導法による膜厚測定時の注意事項について述べたものである。正しいものを一つ選 び， 記号で答えよ。,試験体の端部で測定する。,表皮深さに比べて十分薄い試験体とする。,試験体と試験コイルが密着するようにする。,測定装置のウォームアップは不要である。,,c,190P 9.1.2 電磁誘導法への影響因子を極力排除することを考えればよい。すなわち端部効果を抑制するためにできる だけ 試験体の中央部で測定し，リフトオフ効果を抑制するために試験コイルと試験体の距離が一定とな るように密着させ，表皮深さの影響が出ないように表皮深さより十分に厚い試験体を用いることである。 装置のウォームアップは膜厚測定に限らず測定器の使用上での必須事項である。,
105,渦電流試験による厚さ測定が可能なものはどれか。次のうちから正しいものを選べ。,アルミニウムに塗装したエポキシ樹脂膜,ほうろうに塗布したエポキシ塗料膜,セラミック上のエポキシ塗料膜,銅板上のアルミニウム箔,,a,190P 9.1.2 (a)が正しい。○ (b)ほうろう，エポキシは両方とも非導電体。☓ (c)セラミック，エポキシは両方とも非導電体。☓ (d)薄膜も母材も電気が流れてしまうため、どちらがどの程度反応しているか分からない。☓,
106,鋼管の渦電流探傷試験に用いられる対比試験片の使用目的について述べた。正しいものを一つ選べ。,予備運転時間の短縮,試験条件の設定,試験速度の向上,探傷装置の寿命延長,,b,101P(2) 205P 10.4.4 対比試験片の使用目的の中に定められている。ｂ）が正しい。,
107,貫通プローブによる鋼管の渦電流探傷試験において用いられる対比試験片について述べたものである。 正しいものを一つ選び，記号で答えなさい。,対比試験片には試験体と同じ化学成分で同じ寸法の材料を用いれば、熱処理は原則として同じでな くてよい。,対比試験片がさび付いたときは、表面を研磨する。,加工するきずの間隔は、それぞれのきずが十分に分離して検出できる長さ以上とする。,きずの加工前に予め渦電流探傷試験を行い、基準となる雑音が発生する材料を選ぶ。,,c,101P(2) 205P 10.4.4 対比試験片の使用目的の中に定められている。ｃ）が正しい。,
108,次のきずは，継ぎ目無鋼管の渦電流探傷試験において検出されるものの代表例について述べたもので ある。正しいものを一つ選び，記号で答えなさい。,クレータ割れ,砂かみ,かぶれ,ざくきず,,c,142P 8.1.1 表8.1.1 表8.1.1 よりｃ）が正しい。,
109,差動方式の貫通プローブを用いた棒鋼の渦電流探傷試験で，一般に検出しやすいきずはどれか。,ヘゲきず,折れこみ,噛み出し,線状きず,,a,149P 8.1.2(2)1)及び表8.1.4 貫通コイルは棒鋼の探傷に限らず，一般的には差動比較の試験コイルが使われていることを知っておく必 要がある。これを知っていれば軸方向に長い，あるいは線状きずは検出が難しいことが判るはずである。 したがってb)c)d)は長手きずなので，正解からはずれる。したがって正解はa)となる。 補＞棒鋼に関しては，ヘゲ，ロールマーク，虫食いを押さえておきたい。 咄み出し：孔型を有する圧延ロールを用いた圧延においては、孔型からずれないように圧延材を次の 圧延機のワークロールの孔型に噛みこませることが重要となる。とはいえ、様々な原因により、圧延 材がパスラインからずれる状況下となり、圧延材が孔型の真中心に入らず、噛み出してしまうことと なる。⇒軸方向に長いきずであると考えられる。,
110,研棒鋼に対して差動方式の貫通プローブを適用したとき，検出可能なきずはどれか。,シワ,ヘゲ,割れ,折れ込み,,b,149P 8.1.2(2)1)及び表8.1.4 棒鋼に関しては，ヘゲ，ロールマーク，虫食いを押さえておきたい。 補＞棒鋼は熱間圧延材のほか磨棒鋼があり，磨棒鋼は表面性状がよく，微細きずの検出が可能となる。,
111,銅及び銅合金管の製造工程において発生するきずについて述べたものである。正しいものを選べ。,巻き込みの有害度は非常に低い。,ヘゲきずは減肉を伴わない。,矯正マークは矯正ロールの調整不良によって発生する。,押し込みは減肉を伴うきずではない。,,c,153P 8.2.1(4) 表1 表1 のとおり。(a)(b)(d)は減肉を伴い有害度大なので☓。(c)が153P の解説のとおり正しい。,
112,電磁誘導試験による鉄筋コンクリートに非破壊試験について述べたものである。正しいものを選べ。,試験周波数は、数百kHz～数MkHz と高い周波数を用いる。,コンクリートは導電率が高いので、電磁誘導試験で厚さを測ることができる。,鉄筋探査では鉄筋のかぶりや直径を推定することができる。,鉄筋は軟鋼であるため、電磁誘導試験では検出できない。,,c,190P 9.1.3 (c)が正しい。,
113,次の文は内挿プロープによる管の渦電流探傷試験について述べたものである。正しいものを選べ。,ガタ雑音と貫通穴の位相差が180°に近くなる試験周波数を選ぶ。,管の外面における減肉深さは、一般にきす信号の振幅から推定する。,一般に外面きずに比べて内面きずの方が、試験コイルのインピーダンス変化は小さい。,管の支持板により発生する雑音は、試験周波数が低いほど大きくなる。,,d,101P 6.6.1，124P 7.3.1(2)2)②，128P 7.3.4(1)1)① 124P 図7.3.5 において，通常(a)の振幅法は(b)の位相法より試験周波数が低い。図の支持板信号a を 比較すると，きず信号の大きさに対して振幅法の方が大きく出力されている。これは，表皮効果による もので，低い周波数の方が渦電流分布が深いので，支持板まで渦電流が届く量が多いことによる。 注＞(c)の「一般に外面きずに比べて内面きずの方が、試験コイルのインピーダンス変化は小さい。」は， 内挿プローブにおいて，コイルに近い内面きずの方が応答は大きいので誤りとなる。一方，応答する位 相範囲の，外面きずは0°～135°，内面きずは135°～180°から正しいと考えるのは間違いのようで ある。,
114,次の文は内挿プロープを用いた管の渦流探傷試験について述べたものである。正しいものを選べ。,ガタ雑音と貫通きず信号の位相差が90°に近い試験周波数を用いる。,内外面の減肉深さは、一般に信号の振幅から推定する。,試験プロープのインピーダンス変化は、外面きずより内面きずの方が大きい。,支持板の信号は、試験周波数が高いほど大きくなる。,,c,125P 7.3.1(2)2)②， 128P 7.3.4(1)2) (c)が正しい。,
115,内挿プローブによる伝熱管の渦電流探傷試験において，貫通ドリル穴によって発生する信号の位相を 135°に，かつガタ雑音をO°近傍になるように試験周波数を設定したとき，外面きずの信号は次のどの 位相範囲に現れるか。正しいものを一つ選び，記号で答えなさい。,O°～135°,135°～180°,O°～90°,90°～180°,,a,101P 6.6.1 図6.6.3，125P 7.3.1(2)2)② 適切な試験周波数が選定された場合，貫通ドリル穴を135°に位相をセットしたとき，外面きずは 0～ 135°，内面のきずは 135 ～180°の範囲で検出することができる。また，対比試験片の深いきずは内 外面とも，135°に近いところにプロットされる。ａ)が正しい。,
116,多重周波数を用いた渦電流探傷装置について述べた。正しいものを次の中から選べ。,２重周波数による探傷方法を採用すると、磁気ノイズを抑制できる。,熱交換器の拡管部に発生する割れは、２重周波数による探傷試験を適用すると検出できる。,曲管部の曲がり信号を消去してきずを検出するには、基周波数に対して補助周波数を２倍から８倍 に設定する。,支持板直下の管外面減肉を検出する場合、基周波数に対して補助周波数を1/2 から1/4 に設定する。,,d,102P 6.6.2(1) 多重周波数渦電流探傷器は，渦電流の表皮深さの違いから不要信号の消去を行うものであり，内挿プロー ブを用いた場合，試験体の外表面における支持板等の雑音を消去する場合は，基準の周波数とそれよりも 1/2 ～1/4 程度低い周波数を用いる為，ａ）とｂ）は不正解である。試験体の内表面に起因する雑音を消 去する場合は，基準の周波数とそれよりも 2～4 倍程度高い周波数を使用するので，ｃ）は不正解である。 したがって，正答はｄ）となる。,
117,次の文は，内挿プローブを用いた２重周波数の渦電流探傷装置を使用する場合の，試験周波数の設定 について述べたものである。正しいものを一つ選び，記号で答えよ。,試験体の外表而における支持板等の雑音を消去する場合は、探傷のための基準の周波数とそれより も2～4 倍程度高い周波数を使用するのが一般的である。,試験体の外表面における支持板等の雑音を消去する拗合は、周波数に関係なく位相を180°回転 させた交流を加え，出力を調整する。,試験体の内表面に起因する雑音を消去する場合は、探傷のための基準の周波数とそれよりもl/2～ 1/4 程度低い周波数を使用するのか一般的である。,試験体の外表面における支持板等の雑青を消去する場合は、探傷のための基準の周波数とそれより も1/2～1/4 程度低い周波数を使用するのが一般的である。,,d,102P 6.6.2(1) 多重周波数渦電流探傷器は，渦電流の表皮深さの違いから不要信号の消去を行うものであり，内挿プロー ブを用いた場合，試験体の外表面における支持板等の雑音を消去する場合は，基準の周波数とそれよりも 1/2 ～1/4 程度低い周波数を用いる為，ａ）とｂ）は不正解である。試験体の内表面に起因する雑音を消 去する場合は，基準の周波数とそれよりも 2～4 倍程度高い周波数を使用するので，ｃ）は不正解である。 したがって，正答はｄ）となる。,
118,次の文は，内挿プローブと 2 重周波数を用いた渦電流探傷装置を使用し熱交換器の検査をする場合の 試験周波数の設定について述べたものである。正しいものを一つ選び記号で答えよ。,伝熱管の内表面における凹凸等の雑音を消去する場合は，基準の周波数とそれよりも 1/2～1/4 倍 程度の周波数を使用する。,支持板信号を消去する場合は，基準の周波数とそれよりも 2～4 倍程度高い周波数を使用する。,支持板信号を消去する場合は，基準の周波数と同 一で，位相が 180°異なる交流を用いる。,支持板信号を消去する場合は，基準の周波数とそれよりも 1/2～1/4 倍程度の周波数を使用する。,,d,102P 6.6.2(1) 6.6.2(1)項の解説のとおり，(d)が正しい。,
119,次の文は，内挿プローブによる多重周波数法の周波数設定について述べたものである。,支持板信号を抑制する場合は、検査に適した周波数と、一般にはそれよりも 1/10～1/100 程度の低 い周波数の二周波が用いられる。,支持板信号の抑制は、検査に適した周波数より低い周波数を用いるが、表皮深さが深いことから、 支持板信号が強く含まれることを利用している。,多重周波数法はプロープによるガタ雑音を抑制するためにも使用される。この場合、腐食検査に適 した周波数より低い周波数が用いられる。,試験後に各周波数より得られた信号を相互に演算すればよいため試験周波数は考慮する必要がない。,,b,（NDT ﾌﾗｯｼｭに解説あり） 102P 6.6.2(1) (ｂ)が正しい。,
120,次の文は，リモートフィールド渦電流探傷法について述べた。正しいものを一つ選び記号で答えよ。,非磁性体配管の保守検査法として開発された試験法である。,管内部の励磁コイルから管径の約4 倍程度離れた位置に検出コイルを置いて探傷する方法である。,励磁周波数は数十～数百kHz 程度である。,従来の渦電流探傷法と比べて探傷速度を遅くする必要性がある。,,d,191P 9.2.1 d）が正しい。 リモートフィールド渦電流探傷法は，試験体を磁気飽和せずに磁性体の配管の保守検査法として開発され た試験法であり，(a)は不正解である。リモートフィールド渦電流探傷法は，管内部の励磁コイルから管 外径の約2 倍程度離れたリモートフィールド領域に検出コイルを配置して探傷する方法であり，(b)は不 正解である。また，リモートフィールド渦電流探傷法に用いられる励磁周波数は数十～数百Hz 程度であ り，従来の渦電流探傷法と比べ励磁周波数が低い。その結果として，探傷速度を速く設定できず，(c)は 不正解であり，(d)が正しい。 補＞114P の図7.2.7 で示すように，探傷速度が速いときず信号波形に含まれる搬送波の数が数個以下に なった場合，きず信号が忠実に検波できなくなる恐れがあるので，リモートフィールド渦電流試験の場合， 試験周波数が低いのでプローブ搬送速度を遅くする必要がある。 例えば，試験周波数200Hz で搬送速度500mm 毎秒の場合，長さ5mm のきず部をコイルが通過する時間は 1/100 秒なので，単純計算できず部の搬送波の山は2 個という計算になり，山数が少ないのでより遅い搬 送速度で実施する必要がある。,
121,リモートフィールド渦流試験による鋼管の探傷試験について、正しいものを一つ選べ。,管の外面きずよりも内面きずに対する検出感度が高い。,管の内面きずよりも外面きずに対する検出感度が高い。,管の内面と外面のきずを同等の感度で検出する。,管の内面きずは検出できるが、外面きずは検出できない。,,c,（新問題集に解説あり） 191P 9.2.1 (c)が正しい。 補＞非磁性の熱交換器伝熱管渦電流探傷試験は，励磁コイルと検出コイルの配置は近接しており，ニャー フイールドとも言え，励磁と検出コイルの電磁的結合は強い。一方，リモートフィールドでは，励磁コイル と検出コイルは管径の2 倍以上の配置となり直接の電磁的結合は極端に弱くなり，管外面を軸方向に伝わ る電磁エネルギーのほうが強く，検出コイル部で管内に入り込む電磁エネルギーを利用している。 特徴は，以下のとおり。 ①ある程度きず深さ評価できる。 ②内外面のきずはほぼ同等に検出できるが，内外の区別はできない。 ③試験速度は遅い。 ④割れ等の体積が小さいきずは検出し難い。 ⑤エネルギーが管外面を伝うため，支持板付近はエネルギーが遮断され，不感帯となる。,
122,次の文は、航空機の部品検査に使用される上置プローブの特長について述べたものである。次の中か ら正しいものを一つ選び、記号で答えなさい。,単一方式が一般的であるが、自動回転式の装置には、標準比較方式のプローブが採用されてい る。,ボルトホールなどに発生する微小な疲労亀裂を検出する場合、ボルトを外してホール内面を回 転式プローブで探傷することがある。,温度上昇によるドリフトがある場合には、自己誘導形プローブが採用される。,磁気シールド付きプローブは、端末効果の影響が大きいので用いない。,,b,（新問題集に解説あり） 159P 8.3 (ｂ)が正しい。,
123,次の文は，JIS G 0583 に基づく探傷装置の調整と確認について述べたものである。正しいものを一つ 選び，記号で答えなさい。,試験開始直前に調整を行い。試験途中は８時間毎に確認を行った。,装置の調整後，位相つまみに触れてしまったが。装置の再調整はしなかった。,試験を終了したとき調整と確認後３時間しか経過していなかったので，終了時の確認を省略した。,鋼管の連続試験においては12 時間ごとに対比試験片を用いて調整の状態を点検した。,,a,（新問題集に解説あり） 212P 11.1.5 表11.1.5 表11.1.5 の規定項目7.より，ａ）が正しい。,
124,次の文は、JIS G 0583：2012 で採用されているプローブコイル法に対する要求事項について述べたも のである。次の中から正しいものを一つ選び、記号で答えなさい。,走査法は、管直進・プローブ回転法と管回転・プローブ直進法が推奨されるが、電子的走査方法は 認められていない。,プローブコイル法で採用される対比きずは、角溝とやすり溝の二つである。主体は角溝である。,角溝の深さ表示は、深さの絶対値を表示する（例 深さ0.20mm、0.35mm）,プローブコイル法では、角溝から得られる信号を検出できるように、警報レベルを設定し、管全表 面を走査する。,,d,（新問題集に解説あり） (d）が正しい。,
125,JIS H 0502 「銅及び銅合金管の渦流探傷試験方法」において，対比試験片の人工きずとして規定さ れているものはどれか。正しいものを一つ選び，記号で答えなさい。,貫通ドリル穴,平底ドリル穴,軸方向ヤスリきず,角溝,,a,212P 表11.1.5 表11.1.5 の規定項目5.より，(a)が正しい。,
126,次の語句はJIS H 0502 : 1986 で規定された対比きずについて述べたものである。これらの中から 正しいものを一つ選び，記号で答えなさい。,角溝,貫通ドリル穴,円周ヤスリキズ,平底ドリル穴,,b,212P 表11.1.5 表11.1.5 の規定項目5.より，(b)が正しい。,
127,JIS Z 2315「渦電流探傷装置の総合性能の測定法」に規定されている充てん率は原則どれか。,55％ ±10％,60％ ±10％,65％ ±10％,70％ ±10％,,c,203P JIS Z 2315（渦流探傷装置の総合性能の測定方法）に「充てん率は，原則として (65±10) %とす る。」とある。,
