id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
81,次の文は、識別限界コントラストΔDmin について述べたものである。正しいものを一つ選べ。,識別限界コントラストΔDmin は、Ｘ線フィルムの粒状性、透過写真の濃度に関係するが、像の 大きさや濃度分布には関係しない。,識別限界コントラストΔDmin は、感光材料によって異なる。,識別限界コントラストΔDmin は、放射線のエネルギーによって変化しない。,針金の識別限界コントラストΔDmin は、透過写真の濃度の上昇に伴って増加するが、その程 度は針金像の幅が大きいほど顕著である。,b,a) 識別限界コントラストΔD ：像の大きさと濃度分布、フィルムの粒 min 状性、増感紙、放射線の線質、透過写真の濃度、観察条件、個人差な どが関係する。 c) 放射線のエネルギーによる像質の変化で変わる。 d) 針金像の幅が小さいほど顕著である。 参考：テキストⅡ①p94～p97,
82,次の文は、識別限界コントラストΔDmin について述べたものである。正しいものを一つ選べ。,識別限界コントラストΔDmin は、フィルムと増感紙の組合せが変わっても変わらない。,針金の線径がある値より小さい場合、識別限界コントラストΔDmin は線径が小さいほど小さ くなる。,線径がある値以上の場合は、識別限界コントラストΔDmin は、一定の値となる。,同一線径に対する識別限界コントラストΔDmin の値は、濃度が高いほど小さい。,c,a) 感光剤も関係する。 b) 線径が小さいほど大きい。 d) 濃度が高いほど大きい。 参考：テキストⅡ①p94～p97,
83,次の文の[ア][イ][ウ]に入る正しい組合せを一つ選べ。 針金像の識別限界コントラスト⊿Dmin は濃度が高くなるにつれて【ア】する。これは透過写真を 透過する光の強さL が【イ】なるためである。したがって、輝度の小さいフィルム観察器を使用 する場合は、比較的低い濃度で⊿Dmin が【ウ】なる。,[ア] 減少 [イ] 小さく [ウ]小さく,[ア] 減少 [イ] 大きく [ウ]小さく,[ア] 増加 [イ] 小さく [ウ]大きく,[ア] 増加 [イ] 大きく [ウ]小さく,c,－ 参考：テキストⅡ①p94～p97,
84,観察器をより輝度の高いものに変えて透過写真を観察したところ、より小さいきず像を識別する ことができた。その理由について正しいものを一つ選べ。,識別限界コントラストΔDmin が小さくなった。,透過写真のコントラストΔD が小さくなった。,識別限界コントラストΔDmin が大きくなった。,透過写真のコントラストΔD が小さくなった。,a,－,
85,下図は、透過写真のコントラストΔD と識別限界コントラストΔDminの関係を示したものである。 次の文のうち正しいものを一つ選べ。,濃度が低い範囲では、ΔD が小さいため針金を識別することができる。,濃度が高い範囲では、ΔD が大きいため針金を識別することができる。,針金が識別できる濃度の範囲は、中間の範囲に限られる。,観察器の明るさを大きくすれば、針金の識別できる濃度範囲は、低濃度側へ広がる。,c,－,rt_2022_04_q85.png
86,下図は、透過写真のコントラストΔD と識別限界コントラストΔDminの関係を示したものである。 次の文の[ア][イ]に入る正しい組合せを一つ選べ。 図中のD 点は高い濃度における透過写真のコントラストを示し、実線で示すΔDmin より下にあ るため[ア]。コントラストをそのまま保ち、透過写真の濃度をB 点まで低くすると[イ]。,[ア] きず像を識別できない。 [イ] きず像を識別できる。,[ア] きず像を識別できない。 [イ] きず像を識別できない。,[ア] きず像を識別できる。 [イ] きず像を識別できる。,[ア] きず像を識別できる。 [イ] きず像を識別できない。,a,透過写真で像が識別される為には、ΔD≧D でなければならない。 min ここで、コントラストとは濃度差のことであり、A 点のコントラストΔD はΔD より小さい為識別することが出来ない。 min ΔD のラインより大きくすることで（ΔD≧ΔD ）像が識別できるよ min min うになる。,rt_2022_04_q86.png
87,下図は、針金像の幅W と識別限界コントラストΔDmin の関係を示したものである。 次の文の[ア][イ][ウ]に入る正しい組合せを一つ選べ。 図中のE 点での針金像の幅をF 点まで拡大すると透過写真のコントラストが実線で示すΔDmin よ り上になるため[ア]。 また、実線よりΔDmin を小さくできるX 線フィルムと増感紙を組合せた場合、E 点において破線 で示すΔDmin より上になるため[イ]。つまり、像質は[ウ]。,[ア] きず像を識別できる [イ] きず像を識別できない [ウ] 低下する。,[ア] きず像を識別できない [イ] きず像を識別できない [ウ] 変わらない,[ア] きず像を識別できない [イ] きず像を識別できる [ウ] 向上する,[ア] きず像を識別できる [イ] きず像を識別できる [ウ] 向上する,d,,rt_2022_04_q87.png
88,次の文は、透過写真に入射する光の強さL0 と透過した光の強さL の関係を表す濃度D について 述べたものである。正しいものを一つ選べ。,Ｄ＝Ｌｏｇ10（Ｌ／Ｌ０）,Ｄ＝Ｌｏｇ10（Ｌ０／Ｌ）,Ｄ＝Ｌｏｇｅ（Ｌ／Ｌ０）,Ｄ＝Ｌｏｇｅ（Ｌ０／Ｌ）,b,透過写真の濃度D：写真に入射する光の強さ（輝度）をL 、透過した後 0 の強さ（輝度）をL として、下式で定義する。 D ＝log 10 参考：テキストⅠ p26 7.1.1 透過写真の濃度,
89,次の文は、透過光の強さと写真の濃度について述べたものである。正しいものを選べ。,透過光の強さが入射光の強さの1/200 になった。この時の写真の濃度は0.3 である。,透過光の強さが入射光の強さの1/200 になった。この時の写真の濃度は1.3 である。,透過光の強さが入射光の強さの1/200 になった。この時の写真の濃度は2.3 である。,透過光の強さが入射光の強さの1/200 になった。この時の写真の濃度は3.3 である。,c,前問（問88）の濃度の定義に基づき解く。 濃度D＝log ［1／(1／200)］＝log 200＝2.30 10 10,
90,明るさL0 の観察器で濃度1.50 の透過写真を観察した。次に観察器の明るさを変えて濃度3.00 の 透過写真を観察する。このとき識別限界コントラストΔDmin を同じにするためには明るさL０の何倍 にすればよいか。正しいものを一つ選べ。,32 倍,3.2 倍,0.03 倍,0.3 倍,a,透過写真の濃度はD＝log(Lo／L) で定義される。 D:濃度 Lo:入射光の強さ L:透過光の強さ 1.50＝log(Lo／L)………(1) 3.00＝log(Lo'／L)……(2) (1) 式及び(2)式を変形すると 1.50＝logLo－logL………(3) 3.00=logLo'－logL………(4) (3)式－(4)式より －1.50＝logLo－logLo’ logLo'－logLo＝1.50 よって log(Lo’－Lo)＝1.50 よって Lo’／Lo=101.5≒32 参考：ＮＤＴフラッシュ2005 年9 月号(Vol.54 No.9),
91,次の文は、見掛けのコントラストについて述べたものである。正しいもの一つを選べ。,透過写真のコントラストΔD が一定の場合、濃度Ⅾが高いほど見掛けのコントラストは大きく なる。,透過写真のコントラストΔD が一定の場合、濃度Ⅾが低いほど見掛けのコントラストはあまり 減少しない。,透過写真のコントラストΔD が一定の場合、観察器が暗いほど見掛けのコントラストは大き くなる。,明るい場所でも暗い場所でも見掛けのコントラストは変わらない。,b,a) 濃度が高くなると透過光の強さが小さくなって相対的のn’（透過光 に対する散乱光の比）が大きくなるため、見掛けのコントラストは小 さくなる。 c) 観察器の明るさが暗くなると透過光の強さが小さくなって相対的の n’が大きくなるため、見掛けのコントラストは小さくなる d) 明るい場所では相対的にn’が大きく、暗い場所ではn’が小さくなる ため見掛けのコントラストが変化する。 参考：テキストⅡ①p91，92 16.1.2 室内の明るさの影響 テキストⅡ②p164 7.1.1(2)室内の明るさの影響 テキストⅠp36，37 9.2 正しい観察の仕方,
92,次の文は、透過写真の観察について述べたものである。正しいものを一つ選べ。なお、n’は透過 光に対する散乱光の比を表す。,観察器の明るさが一定の場合、透過写真の見掛けのコントラストは1+n’の値に比例する。,観察器の明るさが一定の場合、透過写真の見掛けのコントラストは1+n’の値に反比例する。,観察器の明るさが一定の場合、透過写真の濃度が高くなると透過光L は高くなる。,観察器の明るさが一定の場合、透過写真の濃度が低くなると透過光L は一定になる。,b,フィルム観察時の透過写真の見掛けのコントラストはΔD／(1+n’) で表 される。透過光の強さをL、散乱光（透過光以外の光）の強さをL とす S るとn’はn’＝L ／L で表される。 S 参考：テキストⅡ①p97，98 17.2 透過写真の見掛けのコントラスト テキストⅡ②p165，166 7.1.1(5)透過写真の見掛けのコントラスト,
93,次の文は、透過写真の観察について述べたものである。正しいものを一つ選べ。なお、n’は透過 光に対する散乱光の比を表す。,明るい場所で観察する場合、濃度が高い方が1／(1+n’) は小さくなる。,明るい場所で観察する場合、濃度が高い方が1／(1+n’) は大きくなる。,明るい場所で観察する場合、観察器の輝度が低い方が1／(1+n’) は大きくなる。,観察する場合の明るさは1／(1+n’) に関係しない。,a,1／(1+n’) はフィルム観察時の透過写真の見掛けのコントラストの係数 であり（前問解説参照）、透過光の強さをL、散乱光（透過光以外の光） の強さをL とするとn’はn’＝L ／L で表される。 S S 明るい場所で観察する場合、透過光以外の光（散乱光）の強さ L は L S S ≠0 であり、明るいほど強くなる。 透過写真の濃度が高くなると透過光の強さL は小さくなり、n’が大きく なるので1／(1+n’)の値は小さくなる。 観察器の輝度が低くなると透過光の強さL は小さくなり、n’が大きくな るので1／(1+n’)の値は小さくなる。 参考：テキストⅡ①p97，98 17.2 透過写真の見掛けのコントラスト テキストⅡ②p165，166 7.1.1(5)透過写真の見掛けのコントラスト,
94,次の文の[ア][イ]に入る正しい組合せを一つ選べ。 明るい室内で透過写真を観察する場合、透過写真からの透過光L と周囲からの散乱光Ls が加わっ て目に入る。透過光に対する散乱光の比n’を【ア】とすれば、透過写真の見掛けのコントラストは、 散乱光のない場合の【イ】倍となる。,[ア] L/Ls [イ] 1/ n’,[ア] Ls/L [イ] 1＋n’,[ア] L/Ls [イ] 1/（1＋n’）,[ア] Ls/L [イ] 1/（1＋n’）,d,－ 参考：テキストⅡ①p97，98 17.2 透過写真の見掛けのコントラスト テキストⅡ②p165，166 7.1.1(5)透過写真の見掛けのコントラスト,
95,"明るさが30,000 cd/m2 の観察器を使い濃度4.00 のフィルムを観察する場合、透過光の明るさL は 何cd/m2 になるか。正しいものを一つ選べ。",3 cd/m2,30 cd/m2,300 cd/m2,"3,000 cd/m2",a,"濃度D＝log Lo／L（L ：入射する光の強さ、L：透過光の強さ）より 10 0 10D ＝ L ／L 0 題意より、D=4.00、L0＝30,000 cd/m 2 4.00＝log 30,000／L 10D＝Lo／L L＝Lo／10D 10 L＝30,000／10D＝30,000／10,000＝3 cd/m2 参考：濃度1.0（L＝L ／10）、2.0（L＝L ／100）、3.0（L＝L ／1,000） 0 0 0 3.0（L＝L ／10,000） 0",
96,"次の文の[ア][イ][ウ]に入る正しい組合せを一つ選べ。 明るさが10,000 cd/m2 の観察器を使い濃度2.00 のフィルムを観察する場合、透過光の明るさL は 【ア】cd/m2 となる。また、透過光の1.4 倍に相当する散乱光Lｓが【イ】cd/m2 あったと仮定すれ ば、透過写真の見掛けのコントラスト⊿Da は【ウ】％に減少する。ただし、小数点以下は切り上げ る。","[ア] 1,000 [イ] 1,400 [ウ] 72","[ア] 1,000 [イ] 1,400 [ウ] 42",[ア] 100 [イ] 140 [ウ] 72,[ア] 100 [イ] 140 [ウ] 42,d,"前問（問95）と同様の手順で透過光の明るさL を求める。 1. 明るさL ：10,000 cd/m2、濃度D ：2.00 0 L＝Lo／10D = 10,000／102.0＝10,000／100＝100cd/m2 2. 散乱光L の強さ：1.4・L＝1.4×100＝140cd/m2 s 3. 透過写真の見掛けのコントラストΔD s ・透過光に対する散乱光の比n’＝L ／L ＝ 140／100＝1.4 S ・見掛けのコントラストΔD＝ΔD／（１＋n’）＝ΔD／1+1.4 s ＝ΔD／2.4＝0.417・ΔD≒0.42・ΔD したがって、42％減少する。",
97,次の文は、透過写真の観察条件と見掛けのコントラストの関係について述べたものである。正し いものを一つ選べ。,透過写真を観察する場合、固定マスクと透過写真の隙間から光が漏れ出ても見掛けのコント ラストに影響しない。,同じ濃度の透過写真を観察する場合、観察器の輝度が高くなるほど見掛けのコントラストは 低下する。,観察器の輝度が一定の場合、透過写真の濃度が低くなるほど見掛けのコントラストは低下す る。,観察する室内の明るさが一定の場合、透過写真の濃度が高くなるほど見掛けのコントラスト が低下する。,b,見掛けのコントラストΔD は、①観察する室内の明るさ、②観察器の S 明るさ（輝度）、③透過写真観察時に周囲から漏れ出す光、④透過写真 の濃度の影響によって変化する。 参考：テキストⅡ①p97，98 17.2 透過写真の見掛けのコントラスト テキストⅡ①p98～p100 17.3 透過写真の観察方法,
98,濃度1.80 と2.40 の2 枚の透過写真を、同じ観察条件で観察した。このときの観察において、ど ちらも透過光以外の光の強さは濃度1.80 の透過写真を透過した光の強さの半分であった。 濃度D とフィルムコントラストγ の関係が濃度0.50～3.50 の範囲で正比例であるとすれば、濃 度1.80 における透過度計の線に対する透過写真の見掛けのコントラストは濃度2.40 において同 一直径の線に対する透過写真の見掛けのコントラストの何倍であるか。正しいものを一つ選べ。,1.0,1.5,10,15,b,1. 見掛けのコントラストΔD＝ΔD／（１＋n’）、 s 2. 透過光に対する散乱光の比n’＝L ／L S 3. 透過写真のコントラストとフィルムコントラストγの関係 ΔD＝C ・γ（C ：比例定数） A A,
99,JIS Z 3104 では透過写真に関して透過度計の識別最小線径、濃度範囲、試験部の有効長さの他に 一つ加えた4 つの項目を主な必要条件として規定している。残り一つの条件について正しいもの を選べ。,照度計の値,線質計の値,階調計の値,有孔形透過度計の識別孔径,c,透過写真の必要条件 ・透過度計の識別最小線径 ・透過写真の濃度範囲 ・階調計の値（母材の厚さ50mm 以下、像質A，B 級） ・試験部の有効長さL 3 ・像質の評価に及びきずの像の分類の妨げとなる現像むら、フィルムき ずなどがあってはならない。 参考：JIS Z 3104：1995 7.透過写真の必要条件,
100,次の文は、透過写真の観察について述べたものである。正しいものを一つ選べ。,透過写真の観察には透過写真のサイズに合わせた固定マスクを使用する。,透過写真上のきずの識別性は観察する人の視力のみに影響を受ける。,透過写真の観察には拡大鏡を用いてはならない。,透過写真の濃度が1.30～4.00 の範囲にわたっていても、観察器の明るさは一定にする。,a,b) 周囲の明るさ、観察するフィルムの周囲から漏れる光などの影響も 受ける。 c) 必要に応じて使用する。 d) 調光機能を持つ観察器を使用する。,
101,次の図は母材の厚さ24.0mm、両面に余盛のある鋼溶接部の透過写真に現れたきずをスケッチ したものである。図中のA 部についてJIS Z 3104 附属書４に基づくきずの像の分類を行った。試 験視野、きずの総点数及び分類の組合せについて正しいものを一つ選べ。,試験視野10mm×10mm、総点数9 点、分類3 類,試験視野10mm×10mm、総点数11 点、分類3 類,試験視野10mm×20mm、総点数11 点、分類3 類,試験視野10mm×20mm、総点数14 点、分類4 類,a,＜資料3＞JIS Z 3104-1995附属書の抜粋に基づく分類 1. 母材の厚さ：24.0mm（母材の厚さ10mmを超え25mm以下） 2. A部：第1種のきず 3. 試験視野：10mm×10mm（図中の破線の範囲） 4. 試験視野内のきず：4個（長径：3.2、2.3、0.6、0.4） ・きずの総点数：3.2（6点）＋2.3（3点）＝9点 ・算定しないきず：0.7以下 5. 分類：3類（6点を超え12点以下）,rt_2022_04_q101.png
102,次の図は母材の厚さ30.0mm、両面に余盛のある鋼溶接部の透過写真に現れたきずをスケッチ したものである。図中のB 部についてJIS Z 3104 附属書４に基づくきずの像の分類を行った。試験視 野、きずの総点数及び分類の組合せについて正しいものを一つ選べ。,試験視野10mm×10mm、総点数6 点、分類2 類,試験視野10mm×10mm、総点数7 点、分類2 類,試験視野10mm×20mm、総点数8 点、分類2 類,試験視野10mm×20mm、総点数10 点、分類3 類,c,＜資料3＞JIS Z 3104-1995附属書の抜粋に基づく分類 1. 母材の厚さ：30.0mm（母材の厚さ25mmを超え50mm以下） 2. B部：第1種のきず 3. 試験視野：10mm×20mm（図中の実線の範囲） 4. 試験視野内のきず：6個（長径：2.5、2.2、1.2、0.5、0.4×2個） ・きずの総点数：2.5（3点）＋2.2（3点）＋1.2（2点）＝8点 ・算定しないきず：0.7以下 5. 分類：2類（4点を超え12点以下）,rt_2022_04_q102.png
103,次の図は母材の厚さ20.0mm、両面に余盛のある鋼溶接部の透過写真に現れたきずをスケッチ したものである。図中のC・D 部について、JIS Z 3104 附属書４に基づくきずの像の分類を行った。 独立したきずか否か、きずの長さ、分類の組合せについて正しいものを一つ選べ。,独立したきず、きず長さ4.5mm（C 部）、分類1 類,独立したきず、きず長さ4.5mm（C 部）、分類2 類,きず群、きず長さ7.5mm（C 部＋D 部）、分類3 類,きず群、きず長さ15.5mm（C 部＋D 部＋両者の間隔）、分類4 類,b,＜資料3＞JIS Z 3104-1995附属書の抜粋に基づく分類 1. 母材の厚さ：20.0mm（母材の厚さ12mmを超え48mm未満） 2. C・D部：第2種のきず（溶込み不良）、一直線上に連なったきず 3. きずの長さ：4.5mm（C部）、3.0mm（D部） 4. C部とD部の間隔：8.0mm > 4.5mm（C部のきず長さ） 5. きずの区分：独立したきず 6. 分類：2類 ・長さによる分類：1類［5.0＞4.5；（母材の厚さの1/4以下）］ ・融合不良、溶込み不良は長さで1類と分類されても2類とする。,rt_2022_04_q103.png
104,次の図は母材の厚さ26.0mm、両面に余盛のある鋼溶接部の透過写真に現れたきずをスケッチ したものである。図中のE・F・G 部について、JIS Z 3104 附属書４に基づくきずの像の分類を行っ た。独立したきずか否か、きずの長さ、分類の組合せについて正しいものを一つ選べ。,独立したきず、きず長さ6.5mm（F 部）、分類1 類,きず群（E＋F＋G）、きず長さ23.9mm（3.2+2.8+6.5+5.8+5.6）、分類4 類,きず群（E＋F）、きず長さ9.7mm（E 部＋F 部）、分類3 類,きず群（E＋F）、きず長さ12.5mm（C 部＋D 部＋両者の間隔）、分類3 類,d,＜資料3＞JIS Z 3104-1995附属書の抜粋に基づく分類 1. 母材の厚さ：26.0mm（母材の厚さ12mmを超え48mm未満） 2. E・F・G部：第2種のきず（E・F：スラグ巻込み、G：パイプ）、 E・F部：一直線上に連なったきず、G部：一直線上ではない 3. 個々のきずの長さ：3.2mm（E部）、6.5mm（F部）、5.6mm（G部） 4. E部とF部の間隔：2.8mm > 6.5mm（C部のきず長さ） G部は一直線上ではないので除外 5. きずの区分：きず群（E部＋F部） 6.きず群の長さ：12.5mm［＝3.2（E）＋6.5（F）＋2.8（間隔）］ 7. 分類：3類（8.7＜12.5＜13.0；母材の厚さの1/3を超え1/2以下）,rt_2022_04_q104.png
105,次の文は、JIS G 0581 に基づく鋳鋼品の透過写真に現れたきずの像の分類について述べたもの である。正しいものを一つ選べ。,きずの像の分類を行う場合、試験体の板厚に応じた試験視野を設定する。,割れは常に4 類である。,樹枝状の引け巣は、連続とみなせる最大の長さ寸法に応じて分類する。,ブローホール及び砂かみ及び介在物は、きず寸法に応じて点数を求め、試験視野内のきず点数 の総和により分類する。,d,JIS G 0581附属書 a) 試験視野は呼称厚さを用いて設定する。 b) 割れは常に6類に分類される。 c) 樹枝状の引け巣は連続とみなせるきずの最大の長さとそれと直交す る幅の寸法の相乗積に応じて分類する。,
106,次の図は呼称厚さ18mm の鋳鋼品の透過写真に現れたきずをスケッチしたもので、きずは砂か み及び介在物である。現れたきずについて、JIS G 0581 に基づいてきずの像の分類を行う。試験視 野、きず点数の総和、分類の組合せについて正しいものを一つ選べ。なお、分類にあたり添付資料 1“JIS G 0581-1999 付属書の抜粋”を参照のこと。 表1 試験条件 (1) 線源： 192Ir、370GBq (2) 材厚： 25 mm (3) 呼称厚さ： 18 mm (4) 材質： SC46 (5) 適用規格： JIS G 0581:1999 (6) 適用（許容）分類： 2 類,試験視野（直径）30mm、きず点数30 点、5 類,試験視野（直径）30mm、きず点数29 点、5 類,試験視野（直径）50mm、きず点数42 点、6 類,試験視野（直径）50mm、きず点数43 点、6 類,b,＜資料1＞JIS G 0581:1999 附属書の抜粋に基づく分類 ブローホール及び砂かみ及び介在物の場合 1. 試験視野の大きさ（直径）：30mm（呼称厚さ10mmを超え20mm以下） 2. 試験視野内のきず：5個（直径13.0、12.0、5.1、4.0、0.5） ・きず点数総和：29点［12点×2個（13.0、12.0）、3点（5.1）、2点（4.0）］ このうち直径0.5は数えないきず （呼称厚さ10超え20以下：1類の場合0.7以下、2類は1.0以下 3. 分類：5類（呼称厚さ10超え20以下：23点を超え32点以下）,rt_2022_04_q106.png
107,JIS Z 2305:2013 はISO（国際標準化機構）規格を基に作成した規格である。基になるISO 規格 は次のうちどれか。正しいものを一つ選べ。,ISO 14001,ISO 9001,ISO 9712,ISO 5580,c,JIS Z 2305:2013 対応ISO ・ISO 9712 ：2012Non-destructive testing—Qualification and certification of NDT personnel に基に作成したJIS 規格 参考：テキストⅡ②はしがき JIS Z 2305:2015“非破壊試験技術者の資格及び認証”,
108,NDT レベル1 及びレベル2 に要求される経験期間を証明する文書を認証機関に提出しなければ ならない。提出時に誰が経験期間を確認するのか、正しいものを一つ選べ。,雇用主,申請者,試験センター,試験監督員,a,経験期間の確認 雇用主が行う。 参考：JIS Z 2305：2013 5.5 雇用主,
109,NDT レベル1 に認証された技術者の業務について述べたものである。正しいものを一つ選べ。,NDT 手順書をNDT 指示書に書き換える。,NDT 装置を調整する。,NDT 装置の調整及びその検証を行う。,NDT を実施し、監督する。,b,NDT レベル1 認証技術者の業務 a)NDT 装置を調整する。 b)NDT を実施する。 c)記載された基準に従ってNDT 結果を記録し、分類する。 d)結果を報告する。 参考：JIS Z2 305：2013 6.1 レベル1,
110,NDT レベル2 に認証された技術者の業務について述べたものである。正しいものを一つ選べ。,NDT 指示書及び手順書を作成し、編集上及び技術上の精査、並びに妥当性を実証する。,規格、コード、仕様書及び手順書を解釈する。,適用される規格、コード、仕様書又は手順書に従って結果を解釈し、評価する。,使用する特定のNDT 方法、手順書及びNDT 指示書を指定する。,c,"NDT レベル2 認証技術者の業務 a) 使用するNDT 方法に適用するNDT 技法を選択する。 b) NDT 方法の適用制限を明確にする。 c) NDT コード、規格、仕様書及び手順書を、実際の作業条件に適した NDT 指示書に書き換える。 d) 装置の調整及びその検証を行う。 e) NDT を実施し、監督する。 f) 適用される規格、コード、仕様書又は手順書に従って結果を解釈し、 評価する。 g) レベル2 又はそれより下のレベルの全ての作業を実施し、監督する。 h) レベル2 又はそれより下のレベルの技術者を指導する。 i) NDT 結果を報告する。 なお、設問のａ、ｂ、ｄはレベル3 の業務である。 参考：テキストⅡp194,195 JIS Z2 305：2013 6.2 レベル2",
111,NDT レベル2 技術者に認められていない業務は次のうちどれか。正しいものを一つ選べ。,レベル2 より下の技術者に対する訓練、指導,NDT 機器の調整と校正,NDT 結果の報告,NDT 仕様書の作成,d,問110 参照,
112,次の文は、NDT に関する技術文書について述べたものである。正しいものを一つ選べ。,NDT 仕様書は、試験・検査に対する技術的要求事項を記した文書をいい、一般に検査対象品、 適用するNDT 手法、適用規格、合否基準など簡潔に記した文書。,NDT 手順書は、NDT 仕様書を受けて具体的なNDT 要領を記した文書をいい、NDT レベル2 に 認証された技術者が作成する。,NDT 指示書は、NDT 仕様書に基づいて作成するもので、NDT 実施にあたってすべての必須要 素及び注意事項を記した文書。,NDT 指示書は、NDT 手順書に基づき、NDT 実施にあたっての正確な手順を記載した文書であ り、必ず顧客に提出して承認を得なければならない。,a,NDT 技術文書 ・仕様書：要求事項を記載した文書（技術的要求事項を記載） ・手順書：規格、コード又は仕様書に従って製品のNDT を実施する際 に適用すべき全ての必須の要素及び注意事項について記載した文書。 ・指示書：確立された規格、コード、仕様書又はNDT 手順書に基づい て、NDT を実施する際に従わなければならない正確な手順を記載した 文書。 b)NDT 手順書の作成はレベル3、レベル2 は許可されていない。 c)後半部分は手順書に関する定義 d)NDT 指示書の顧客への提出は必須ではない。提示が求められたら参考 提示する。 参考：JISZ2305：2013 3（用語及び定義）、6.2 レベル2 テキストⅡ②p194～197，9.品質アスペクト テキストⅡ①p130，24 非破壊検査に関する技術文書,
113,放射線防護の3 大要素について正しいものを一つ選べ。,距離、風向き、角度,距離、時間、体調,遮へい、距離、時間,遮へい、距離、体調,c,放射線防護 ・遮へい：線量率を下げる。 ・距離：放射線源から離れる。 ・時間：放射線下での作業時間を短くする。,
114,次の文は、放射線業務を行う際に設定する管理区域について述べたものである。正しいものを 一つ選べ。,外部放射線による実効線量と空気中の放射性物質による実効線量との合計が3 月間につき100 マイクロシーベルトを超えるおそれのある区域,外部放射線による実効線量と空気中の放射性物質による実効線量との合計が3 月間につき1.3 ミリシーベルトを超えるおそれのある区域,外部放射線による実効線量と空気中の放射性物質による実効線量との合計が3 月間につき5 ミリシーベルトを超えるおそれのある区域,外部放射線による実効線量と空気中の放射性物質による実効線量との合計が3 月間につき 100 ミリシーベルトを超えるおそれのある区域,b,管理区域 ・電離放射線障害防止規則第三条 参考：テキストⅠp77、14.9 節参照,
115,次の文は、工業用エックス線装置又は放射性物質を装備している機器を放射線装置室以外の場 所で使用するときに設定する立入禁止区域について述べたものである。正しいものを一つ選べ。,エックス線管の焦点又は放射線源から5 メートル以内の範囲（外部放射線による実効線量が1 週間につき1.0 ミリシーベルト以下の場所を除く）を立入禁止区域とする。,エックス線管の焦点又は放射線源から8 メートル以内の範囲（外部放射線による実効線量が1 週間につき1.0 ミリシーベルト以下の場所を除く）を立入禁止区域とする。,エックス線管の焦点又は放射線源から10 メートル以内の範囲（外部放射線による実効線量が 1 週間につき1.0 ミリシーベルト以下の場所を除く）を立入禁止区域とする。,エックス線管の焦点又は放射線源から15 メートル以内の範囲（外部放射線による実効線量が 1 週間につき1.0 ミリシーベルト以下の場所を除く）を立入禁止区域とする。,a,立入禁止区域 ・電離放射線障害防止規則第十八条 参考：テキストⅠp77、14.9 節参照,
116,次の文は、放射線業務従事者の被ばく限度について述べたものである。正しいものを一つ選べ。,放射線業務従事者の受ける実効線量が5 年間につき100 ミリシーベルトを超えず、かつ、1 年 間につき50 ミリシーベルトを超えないようにしなければならない。,放射線業務従事者の受ける実効線量が5 年間につき100 ミリシーベルトを超えず、かつ、1 年 間につき20 ミリシーベルトを超えないようにしなければならない。,放射線業務従事者の受ける実効線量が5 年間につき50 ミリシーベルトを超えず、かつ、1 年間 につき20 ミリシーベルトを超えないようにしなければならない。,放射線業務従事者の受ける実効線量が5 年間につき500 ミリシーベルトを超えず、かつ、1 年 間につき200 ミリシーベルトを超えないようにしなければならない。,a,放射線業務従事者の被ばく限度 ・電離放射線障害防止規則第四条に基づく。 参考：テキストⅠp74、14.4 節参照,
117,次の文は、個人の被ばく線量測定器について述べたものである。正しいものを一つ選べ。,ポケット線量計は、機械的強度及び湿度の影響を受け難い。,熱ルミネセンス線量計（TLD）は、電離作用を利用した測定器である。,蛍光ガラス線量計（RPL）は、放射線によって発光する蛍光量を測定する計器である。,フィルムバッジは、比較的長期間の集積線量を測定することができる。,d,ポケット線量計：衝撃に弱い。湿度の影響を受ける。 熱ルミネセンス線量計（TLD）：蛍光作用（熱蛍光物質を利用） 蛍光ガラス線量計（RPL）：蛍光中心※を持つ素子に紫外線又はレーザを 当てることで発光する蛍光量を測定 ※：銀を添加したリン酸塩ガラスに放射線を照射。銀イオンが電離さ れた電子、ホールを捕獲して極めて安定した蛍光中心となる。 参考：テキストⅠp78～80,
118,次の文は、電離箱式サーベイメータの特徴について述べたものである。正しいものを一つ選べ。,他の測定方式に比べて感度が高く、微弱な放射線の測定に適している。,一般に空気を電離気体として用いる方式で、感度は高くないが方向依存性は少ない。,測定器の取り扱い及び保守が簡単でやさしい。,エネルギー依存性が大きい。,b,放射線の測定：電離作用・蛍光作用・写真作用のいずれかを利用 電離箱式サーベイメータ：放射線による空気の電離作用を利用 特徴：感度は比較的低いが、線質依存性、エネルギー（線質）依存性と もに良好。取り扱い・保守に注意が必要（湿度を嫌う） 用途：散乱線の測定、管理区域境界の線量測定 参考：テキストⅠp78、14.11.1 項参照。,
119,次の文は、放射線測定器の特徴について述べたものである。正しいものを一つ選べ。,シンチレーション式サーベイメータは、蛍光作用を利用しているため、感度が低い。,GM 管式サーベイメータは不感という特徴があるが、高線量率領域では数え落としの現象が 生じないため、放射線の正確な測定ができる。,電離箱式サーベイメータは、方向依存性、エネルギー依存性ともに良好で散乱線の測定に用 いることができる。,フィルムバッジは短期間に有効で、長期間（1～3 月程度）の集積線量の記録に不向きである。,c,シンチレーション式：蛍光作用を利用。感度は高い。 GM 管式：電離箱の原理（ガス増幅作用）。電離箱に比べてエネルギー 特性は劣る。不感という特徴により高線量率領域では数え落 としの現象が生じる。 フィルムバッジ：長期間（1～3 月）の集積線量が記録できる。,
